# GPU cost table — generated by gpu_cost_sweep
# Launch overhead: 2.65 us (subtracted from all timings)
# Timings are compute-only. To get wall-clock time for N separate
# kernel launches, add N * launch_overhead_us.
# Regenerate: cargo run -p ferrite-cost-sweep --features cuda --release
kernel,M,N,K,cost_us
launch_overhead,0,0,0,2.65
cublas,1,576,576,5.7
cutlass_32x64_s3,1,576,576,4.1
cutlass_32x64_s4,1,576,576,3.5
cutlass_32x128_s3,1,576,576,5.7
cutlass_32x128_s4,1,576,576,5.9
cutlass_32x256_s3,1,576,576,6.3
cutlass_64x64_s3,1,576,576,3.5
cutlass_64x64_s4,1,576,576,3.7
cutlass_64x128_s3,1,576,576,5.7
cutlass_64x128_s4,1,576,576,5.5
cutlass_128x64_s3,1,576,576,5.7
cutlass_128x64_s4,1,576,576,5.9
cutlass_128x128_s3,1,576,576,10.9
cutlass_128x128_s4,1,576,576,10.9
cutlass_128x256_s3,1,576,576,21.3
cutlass_256x64_s3,1,576,576,11.3
cutlass_256x64_s4,1,576,576,11.1
cutlass_32x64_s3_add,1,576,576,3.9
cutlass_32x64_s4_add,1,576,576,3.7
cutlass_32x128_s3_add,1,576,576,6.2
cutlass_32x128_s4_add,1,576,576,5.9
cutlass_32x256_s3_add,1,576,576,6.6
cutlass_64x64_s3_add,1,576,576,3.7
cutlass_64x64_s4_add,1,576,576,3.7
cutlass_64x128_s3_add,1,576,576,5.7
cutlass_64x128_s4_add,1,576,576,5.7
cutlass_128x64_s3_add,1,576,576,5.9
cutlass_128x64_s4_add,1,576,576,5.9
cutlass_128x128_s3_add,1,576,576,10.9
cutlass_128x128_s4_add,1,576,576,10.9
cutlass_128x256_s3_add,1,576,576,21.5
cutlass_256x64_s3_add,1,576,576,11.3
cutlass_256x64_s4_add,1,576,576,11.3
cutlass_gemv,1,576,576,1.0
cutlass_fused_gate_up_silu_mul,1,576,576,149.5
cutlass_fused_gemm_bias,1,576,576,149.7
cublas,2,576,576,7.0
cutlass_32x64_s3,2,576,576,3.7
cutlass_32x64_s4,2,576,576,3.5
cutlass_32x128_s3,2,576,576,6.4
cutlass_32x128_s4,2,576,576,5.7
cutlass_32x256_s3,2,576,576,7.0
cutlass_64x64_s3,2,576,576,3.7
cutlass_64x64_s4,2,576,576,3.5
cutlass_64x128_s3,2,576,576,5.7
cutlass_64x128_s4,2,576,576,5.7
cutlass_128x64_s3,2,576,576,5.7
cutlass_128x64_s4,2,576,576,5.7
cutlass_128x128_s3,2,576,576,10.9
cutlass_128x128_s4,2,576,576,10.9
cutlass_128x256_s3,2,576,576,21.5
cutlass_256x64_s3,2,576,576,11.1
cutlass_256x64_s4,2,576,576,11.1
cutlass_32x64_s3_add,2,576,576,3.7
cutlass_32x64_s4_add,2,576,576,3.5
cutlass_32x128_s3_add,2,576,576,5.9
cutlass_32x128_s4_add,2,576,576,6.2
cutlass_32x256_s3_add,2,576,576,6.4
cutlass_64x64_s3_add,2,576,576,3.7
cutlass_64x64_s4_add,2,576,576,3.7
cutlass_64x128_s3_add,2,576,576,5.7
cutlass_64x128_s4_add,2,576,576,5.7
cutlass_128x64_s3_add,2,576,576,5.9
cutlass_128x64_s4_add,2,576,576,5.9
cutlass_128x128_s3_add,2,576,576,11.1
cutlass_128x128_s4_add,2,576,576,10.9
cutlass_128x256_s3_add,2,576,576,21.5
cutlass_256x64_s3_add,2,576,576,11.1
cutlass_256x64_s4_add,2,576,576,11.1
cutlass_fused_gate_up_silu_mul,2,576,576,150.5
cutlass_fused_gemm_bias,2,576,576,150.7
cublas,4,576,576,6.6
cutlass_32x64_s3,4,576,576,3.7
cutlass_32x64_s4,4,576,576,3.7
cutlass_32x128_s3,4,576,576,5.9
cutlass_32x128_s4,4,576,576,6.6
cutlass_32x256_s3,4,576,576,6.6
cutlass_64x64_s3,4,576,576,3.7
cutlass_64x64_s4,4,576,576,3.7
cutlass_64x128_s3,4,576,576,5.5
cutlass_64x128_s4,4,576,576,5.9
cutlass_128x64_s3,4,576,576,5.9
cutlass_128x64_s4,4,576,576,5.7
cutlass_128x128_s3,4,576,576,10.7
cutlass_128x128_s4,4,576,576,10.9
cutlass_128x256_s3,4,576,576,21.3
cutlass_256x64_s3,4,576,576,11.3
cutlass_256x64_s4,4,576,576,11.1
cutlass_32x64_s3_add,4,576,576,3.7
cutlass_32x64_s4_add,4,576,576,3.7
cutlass_32x128_s3_add,4,576,576,5.9
cutlass_32x128_s4_add,4,576,576,6.2
cutlass_32x256_s3_add,4,576,576,6.6
cutlass_64x64_s3_add,4,576,576,3.5
cutlass_64x64_s4_add,4,576,576,3.7
cutlass_64x128_s3_add,4,576,576,5.8
cutlass_64x128_s4_add,4,576,576,5.9
cutlass_128x64_s3_add,4,576,576,5.9
cutlass_128x64_s4_add,4,576,576,5.9
cutlass_128x128_s3_add,4,576,576,10.9
cutlass_128x128_s4_add,4,576,576,11.1
cutlass_128x256_s3_add,4,576,576,21.3
cutlass_256x64_s3_add,4,576,576,11.3
cutlass_256x64_s4_add,4,576,576,11.1
cutlass_fused_gate_up_silu_mul,4,576,576,150.5
cutlass_fused_gemm_bias,4,576,576,152.2
cublas,8,576,576,7.0
cutlass_32x64_s3,8,576,576,3.7
cutlass_32x64_s4,8,576,576,3.7
cutlass_32x128_s3,8,576,576,5.9
cutlass_32x128_s4,8,576,576,6.2
cutlass_32x256_s3,8,576,576,6.4
cutlass_64x64_s3,8,576,576,3.5
cutlass_64x64_s4,8,576,576,3.7
cutlass_64x128_s3,8,576,576,5.7
cutlass_64x128_s4,8,576,576,5.7
cutlass_128x64_s3,8,576,576,5.9
cutlass_128x64_s4,8,576,576,5.9
cutlass_128x128_s3,8,576,576,10.9
cutlass_128x128_s4,8,576,576,10.9
cutlass_128x256_s3,8,576,576,21.3
cutlass_256x64_s3,8,576,576,11.1
cutlass_256x64_s4,8,576,576,11.1
cutlass_32x64_s3_add,8,576,576,3.9
cutlass_32x64_s4_add,8,576,576,3.7
cutlass_32x128_s3_add,8,576,576,6.2
cutlass_32x128_s4_add,8,576,576,6.2
cutlass_32x256_s3_add,8,576,576,6.6
cutlass_64x64_s3_add,8,576,576,3.7
cutlass_64x64_s4_add,8,576,576,3.9
cutlass_64x128_s3_add,8,576,576,5.9
cutlass_64x128_s4_add,8,576,576,5.9
cutlass_128x64_s3_add,8,576,576,5.9
cutlass_128x64_s4_add,8,576,576,5.9
cutlass_128x128_s3_add,8,576,576,11.1
cutlass_128x128_s4_add,8,576,576,11.1
cutlass_128x256_s3_add,8,576,576,21.5
cutlass_256x64_s3_add,8,576,576,11.1
cutlass_256x64_s4_add,8,576,576,11.3
cutlass_fused_gate_up_silu_mul,8,576,576,150.5
cutlass_fused_gemm_bias,8,576,576,149.7
cublas,16,576,576,6.6
cutlass_32x64_s3,16,576,576,3.7
cutlass_32x64_s4,16,576,576,3.7
cutlass_32x128_s3,16,576,576,6.2
cutlass_32x128_s4,16,576,576,5.9
cutlass_32x256_s3,16,576,576,6.6
cutlass_64x64_s3,16,576,576,3.7
cutlass_64x64_s4,16,576,576,3.7
cutlass_64x128_s3,16,576,576,5.7
cutlass_64x128_s4,16,576,576,5.9
cutlass_128x64_s3,16,576,576,5.9
cutlass_128x64_s4,16,576,576,5.9
cutlass_128x128_s3,16,576,576,10.9
cutlass_128x128_s4,16,576,576,10.9
cutlass_128x256_s3,16,576,576,21.1
cutlass_256x64_s3,16,576,576,11.0
cutlass_256x64_s4,16,576,576,11.1
cutlass_32x64_s3_add,16,576,576,3.7
cutlass_32x64_s4_add,16,576,576,3.7
cutlass_32x128_s3_add,16,576,576,6.2
cutlass_32x128_s4_add,16,576,576,6.2
cutlass_32x256_s3_add,16,576,576,6.6
cutlass_64x64_s3_add,16,576,576,3.7
cutlass_64x64_s4_add,16,576,576,3.7
cutlass_64x128_s3_add,16,576,576,6.1
cutlass_64x128_s4_add,16,576,576,6.2
cutlass_128x64_s3_add,16,576,576,6.1
cutlass_128x64_s4_add,16,576,576,6.2
cutlass_128x128_s3_add,16,576,576,11.1
cutlass_128x128_s4_add,16,576,576,10.9
cutlass_128x256_s3_add,16,576,576,21.3
cutlass_256x64_s3_add,16,576,576,11.3
cutlass_256x64_s4_add,16,576,576,11.3
cutlass_fused_gate_up_silu_mul,16,576,576,150.7
cutlass_fused_gemm_bias,16,576,576,149.5
cublas,32,576,576,7.0
cutlass_32x64_s3,32,576,576,3.7
cutlass_32x64_s4,32,576,576,3.7
cutlass_32x128_s3,32,576,576,5.9
cutlass_32x128_s4,32,576,576,6.2
cutlass_32x256_s3,32,576,576,6.6
cutlass_64x64_s3,32,576,576,3.9
cutlass_64x64_s4,32,576,576,3.7
cutlass_64x128_s3,32,576,576,6.6
cutlass_64x128_s4,32,576,576,5.9
cutlass_128x64_s3,32,576,576,5.9
cutlass_128x64_s4,32,576,576,5.9
cutlass_128x128_s3,32,576,576,10.9
cutlass_128x128_s4,32,576,576,10.9
cutlass_128x256_s3,32,576,576,21.1
cutlass_256x64_s3,32,576,576,13.7
cutlass_256x64_s4,32,576,576,11.1
cutlass_32x64_s3_add,32,576,576,4.1
cutlass_32x64_s4_add,32,576,576,4.1
cutlass_32x128_s3_add,32,576,576,6.4
cutlass_32x128_s4_add,32,576,576,6.4
cutlass_32x256_s3_add,32,576,576,6.8
cutlass_64x64_s3_add,32,576,576,4.1
cutlass_64x64_s4_add,32,576,576,3.9
cutlass_64x128_s3_add,32,576,576,6.1
cutlass_64x128_s4_add,32,576,576,6.2
cutlass_128x64_s3_add,32,576,576,6.4
cutlass_128x64_s4_add,32,576,576,6.4
cutlass_128x128_s3_add,32,576,576,11.3
cutlass_128x128_s4_add,32,576,576,11.1
cutlass_128x256_s3_add,32,576,576,21.3
cutlass_256x64_s3_add,32,576,576,11.3
cutlass_256x64_s4_add,32,576,576,11.5
cutlass_fused_gate_up_silu_mul,32,576,576,151.4
cutlass_fused_gemm_bias,32,576,576,150.1
cublas,64,576,576,7.0
cutlass_32x64_s3,64,576,576,3.9
cutlass_32x64_s4,64,576,576,3.7
cutlass_32x128_s3,64,576,576,5.9
cutlass_32x128_s4,64,576,576,5.7
cutlass_32x256_s3,64,576,576,6.4
cutlass_64x64_s3,64,576,576,3.9
cutlass_64x64_s4,64,576,576,3.7
cutlass_64x128_s3,64,576,576,5.7
cutlass_64x128_s4,64,576,576,5.9
cutlass_128x64_s3,64,576,576,5.9
cutlass_128x64_s4,64,576,576,5.9
cutlass_128x128_s3,64,576,576,11.1
cutlass_128x128_s4,64,576,576,11.1
cutlass_128x256_s3,64,576,576,21.3
cutlass_256x64_s3,64,576,576,11.3
cutlass_256x64_s4,64,576,576,11.1
cutlass_32x64_s3_add,64,576,576,4.3
cutlass_32x64_s4_add,64,576,576,4.1
cutlass_32x128_s3_add,64,576,576,6.5
cutlass_32x128_s4_add,64,576,576,6.4
cutlass_32x256_s3_add,64,576,576,6.8
cutlass_64x64_s3_add,64,576,576,4.3
cutlass_64x64_s4_add,64,576,576,4.1
cutlass_64x128_s3_add,64,576,576,6.2
cutlass_64x128_s4_add,64,576,576,6.2
cutlass_128x64_s3_add,64,576,576,6.6
cutlass_128x64_s4_add,64,576,576,6.8
cutlass_128x128_s3_add,64,576,576,11.3
cutlass_128x128_s4_add,64,576,576,11.3
cutlass_128x256_s3_add,64,576,576,21.5
cutlass_256x64_s3_add,64,576,576,11.7
cutlass_256x64_s4_add,64,576,576,11.5
cutlass_fused_gate_up_silu_mul,64,576,576,150.3
cutlass_fused_gemm_bias,64,576,576,151.4
cublas,128,576,576,7.2
cutlass_32x64_s3,128,576,576,3.9
cutlass_32x64_s4,128,576,576,3.9
cutlass_32x128_s3,128,576,576,6.0
cutlass_32x128_s4,128,576,576,5.9
cutlass_32x256_s3,128,576,576,6.6
cutlass_64x64_s3,128,576,576,3.9
cutlass_64x64_s4,128,576,576,3.9
cutlass_64x128_s3,128,576,576,5.9
cutlass_64x128_s4,128,576,576,5.9
cutlass_128x64_s3,128,576,576,6.2
cutlass_128x64_s4,128,576,576,6.2
cutlass_128x128_s3,128,576,576,11.1
cutlass_128x128_s4,128,576,576,11.1
cutlass_128x256_s3,128,576,576,21.7
cutlass_256x64_s3,128,576,576,11.5
cutlass_256x64_s4,128,576,576,11.5
cutlass_32x64_s3_add,128,576,576,4.3
cutlass_32x64_s4_add,128,576,576,4.3
cutlass_32x128_s3_add,128,576,576,6.4
cutlass_32x128_s4_add,128,576,576,6.6
cutlass_32x256_s3_add,128,576,576,7.0
cutlass_64x64_s3_add,128,576,576,4.3
cutlass_64x64_s4_add,128,576,576,4.1
cutlass_64x128_s3_add,128,576,576,6.2
cutlass_64x128_s4_add,128,576,576,6.2
cutlass_128x64_s3_add,128,576,576,6.8
cutlass_128x64_s4_add,128,576,576,7.0
cutlass_128x128_s3_add,128,576,576,11.5
cutlass_128x128_s4_add,128,576,576,11.5
cutlass_128x256_s3_add,128,576,576,22.1
cutlass_256x64_s3_add,128,576,576,11.7
cutlass_256x64_s4_add,128,576,576,11.5
cutlass_fused_gate_up_silu_mul,128,576,576,156.3
cutlass_fused_gemm_bias,128,576,576,154.6
cublas,256,576,576,6.2
cutlass_32x64_s3,256,576,576,5.1
cutlass_32x64_s4,256,576,576,4.7
cutlass_32x128_s3,256,576,576,6.2
cutlass_32x128_s4,256,576,576,6.2
cutlass_32x256_s3,256,576,576,6.6
cutlass_64x64_s3,256,576,576,4.1
cutlass_64x64_s4,256,576,576,3.7
cutlass_64x128_s3,256,576,576,5.7
cutlass_64x128_s4,256,576,576,6.1
cutlass_128x64_s3,256,576,576,5.9
cutlass_128x64_s4,256,576,576,6.2
cutlass_128x128_s3,256,576,576,11.3
cutlass_128x128_s4,256,576,576,11.1
cutlass_128x256_s3,256,576,576,21.5
cutlass_256x64_s3,256,576,576,11.3
cutlass_256x64_s4,256,576,576,11.3
cutlass_32x64_s3_add,256,576,576,5.3
cutlass_32x64_s4_add,256,576,576,5.1
cutlass_32x128_s3_add,256,576,576,6.6
cutlass_32x128_s4_add,256,576,576,6.6
cutlass_32x256_s3_add,256,576,576,7.0
cutlass_64x64_s3_add,256,576,576,4.7
cutlass_64x64_s4_add,256,576,576,4.1
cutlass_64x128_s3_add,256,576,576,6.2
cutlass_64x128_s4_add,256,576,576,6.2
cutlass_128x64_s3_add,256,576,576,6.6
cutlass_128x64_s4_add,256,576,576,6.8
cutlass_128x128_s3_add,256,576,576,11.7
cutlass_128x128_s4_add,256,576,576,11.7
cutlass_128x256_s3_add,256,576,576,21.9
cutlass_256x64_s3_add,256,576,576,11.9
cutlass_256x64_s4_add,256,576,576,11.9
cutlass_fused_gate_up_silu_mul,256,576,576,155.9
cutlass_fused_gemm_bias,256,576,576,158.7
cublas,512,576,576,7.4
cutlass_32x64_s3,512,576,576,8.6
cutlass_32x64_s4,512,576,576,8.8
cutlass_32x128_s3,512,576,576,8.4
cutlass_32x128_s4,512,576,576,8.2
cutlass_32x256_s3,512,576,576,7.6
cutlass_64x64_s3,512,576,576,6.8
cutlass_64x64_s4,512,576,576,6.8
cutlass_64x128_s3,512,576,576,5.7
cutlass_64x128_s4,512,576,576,7.4
cutlass_128x64_s3,512,576,576,6.2
cutlass_128x64_s4,512,576,576,6.8
cutlass_128x128_s3,512,576,576,11.9
cutlass_128x128_s4,512,576,576,11.3
cutlass_128x256_s3,512,576,576,21.7
cutlass_256x64_s3,512,576,576,11.5
cutlass_256x64_s4,512,576,576,11.7
