# GPU cost table — generated by gpu_cost_sweep
# Launch overhead: 2.63 us (subtracted from all timings)
# Timings are compute-only. To get wall-clock time for N separate
# kernel launches, add N * launch_overhead_us.
# Regenerate: cargo run -p ferrite-cost-sweep --features cuda --release
kernel,M,N,K,cost_us
launch_overhead,0,0,0,2.63
cutlass_16x64_s3,1,576,576,3.1
cutlass_16x64_s4,1,576,576,2.5
cutlass_16x128_s3,1,576,576,3.9
cutlass_16x128_s4,1,576,576,3.9
cutlass_32x64_s3,1,576,576,3.5
cutlass_32x64_s4,1,576,576,3.5
cutlass_32x128_s3,1,576,576,6.0
cutlass_32x128_s4,1,576,576,5.8
cutlass_32x256_s3,1,576,576,9.7
cutlass_64x64_s3,1,576,576,3.7
cutlass_64x64_s4,1,576,576,3.5
cutlass_64x128_s3,1,576,576,5.6
cutlass_64x128_s4,1,576,576,6.0
cutlass_128x64_s3,1,576,576,6.0
cutlass_128x64_s4,1,576,576,6.0
cutlass_128x128_s3,1,576,576,10.7
cutlass_128x128_s4,1,576,576,10.7
cutlass_128x256_s3,1,576,576,21.5
cutlass_256x64_s3,1,576,576,11.3
cutlass_256x64_s4,1,576,576,11.3
cutlass_64x128_sw_s3,1,576,576,5.8
cutlass_64x128_sw_s4,1,576,576,6.0
cutlass_64x256_sw_s2,1,576,576,12.5
cutlass_64x256_sw_s3,1,576,576,11.1
cutlass_128x128_sw_s2,1,576,576,11.7
cutlass_128x128_sw_s3,1,576,576,10.9
cutlass_128x128_sw_s4,1,576,576,10.9
cutlass_128x256_sw_s2,1,576,576,21.1
cutlass_128x256_sw_s3,1,576,576,21.3
cutlass_256x64_sw_s3,1,576,576,11.1
cutlass_256x64_sw_s4,1,576,576,10.9
cutlass_64x64_s2,1,576,576,6.4
cutlass_64x64_s5,1,576,576,3.7
cutlass_64x64_s6,1,576,576,3.7
cutlass_64x64_s8,1,576,576,3.7
cutlass_64x64_s10,1,576,576,3.7
cutlass_64x128_s2,1,576,576,9.0
cutlass_64x128_s5,1,576,576,5.6
cutlass_64x128_s6,1,576,576,5.8
cutlass_64x128_s7,1,576,576,5.8
cutlass_64x128_s8,1,576,576,6.0
cutlass_128x64_s2,1,576,576,8.2
cutlass_128x64_s5,1,576,576,6.0
cutlass_128x64_s6,1,576,576,6.0
cutlass_128x64_s7,1,576,576,6.0
cutlass_128x64_s8,1,576,576,6.0
cutlass_128x128_s2,1,576,576,11.7
cutlass_128x128_s5,1,576,576,10.9
cutlass_128x128_s6,1,576,576,11.1
cutlass_64x256_s2,1,576,576,12.3
cutlass_64x256_s3,1,576,576,11.1
cutlass_64x256_s4,1,576,576,11.1
cutlass_64x256_s5,1,576,576,1000000000.0
cutlass_128x256_s2,1,576,576,21.1
cutlass_128x256_s4,1,576,576,21.3
cutlass_256x64_s2,1,576,576,13.3
cutlass_256x64_s5,1,576,576,1000000000.0
cutlass_256x64_s6,1,576,576,1000000000.0
cutlass_256x128_s2,1,576,576,1000000000.0
cutlass_16x64_s3_add,1,576,576,2.9
cutlass_16x64_s4_add,1,576,576,2.5
