# Metal GPU cost table — generated by metal_cost_sweep
# Device: Apple M1 Max
# Launch overhead: 22.04 us (subtracted from all timings)
# Timings are compute-only. To get wall-clock time for N separate
# kernel launches, add N * launch_overhead_us.
# Regenerate: cargo run -p ferrite-metal-cost-sweep --release
kernel,M,N,K,cost_us
launch_overhead,0,0,0,22.04
metal_rmsnorm_f16,1,2048,0,170.78
metal_rmsnorm_f16,2,2048,0,158.08
metal_rmsnorm_f16,4,2048,0,216.14
metal_rmsnorm_f16,8,2048,0,229.94
metal_rmsnorm_f16,16,2048,0,172.54
metal_rmsnorm_f16,32,2048,0,186.22
metal_rmsnorm_f16,64,2048,0,176.93
metal_rmsnorm_f16,128,2048,0,179.16
metal_rmsnorm_f16,256,2048,0,244.31
metal_rmsnorm_f16,512,2048,0,194.93
metal_rmsnorm_f16,1024,2048,0,187.70
metal_rmsnorm_f16,2048,2048,0,226.00
metal_rmsnorm_f16,4096,2048,0,267.61
metal_rmsnorm_f16,8192,2048,0,207.94
metal_rmsnorm_f16,1,3072,0,259.17
metal_rmsnorm_f16,2,3072,0,196.55
metal_rmsnorm_f16,4,3072,0,180.17
metal_rmsnorm_f16,8,3072,0,190.22
metal_rmsnorm_f16,16,3072,0,175.62
metal_rmsnorm_f16,32,3072,0,265.06
metal_rmsnorm_f16,64,3072,0,196.56
metal_rmsnorm_f16,128,3072,0,194.40
metal_rmsnorm_f16,256,3072,0,188.07
metal_rmsnorm_f16,512,3072,0,194.45
metal_rmsnorm_f16,1024,3072,0,186.55
metal_rmsnorm_f16,2048,3072,0,203.66
metal_rmsnorm_f16,4096,3072,0,221.94
metal_rmsnorm_f16,8192,3072,0,200.70
metal_rmsnorm_f16,1,4096,0,233.21
metal_rmsnorm_f16,2,4096,0,191.83
metal_rmsnorm_f16,4,4096,0,180.83
metal_rmsnorm_f16,8,4096,0,252.52
metal_rmsnorm_f16,16,4096,0,215.43
metal_rmsnorm_f16,32,4096,0,252.02
metal_rmsnorm_f16,64,4096,0,198.58
metal_rmsnorm_f16,128,4096,0,175.33
metal_rmsnorm_f16,256,4096,0,189.31
metal_rmsnorm_f16,512,4096,0,187.00
metal_rmsnorm_f16,1024,4096,0,242.36
metal_rmsnorm_f16,2048,4096,0,257.82
metal_rmsnorm_f16,4096,4096,0,206.17
metal_rmsnorm_f16,8192,4096,0,202.82
metal_rmsnorm_f16,1,5120,0,202.70
metal_rmsnorm_f16,2,5120,0,206.41
metal_rmsnorm_f16,4,5120,0,180.86
metal_rmsnorm_f16,8,5120,0,246.08
metal_rmsnorm_f16,16,5120,0,191.04
metal_rmsnorm_f16,32,5120,0,201.19
metal_rmsnorm_f16,64,5120,0,200.73
metal_rmsnorm_f16,128,5120,0,235.37
metal_rmsnorm_f16,256,5120,0,200.79
metal_rmsnorm_f16,512,5120,0,189.04
metal_rmsnorm_f16,1024,5120,0,201.97
metal_rmsnorm_f16,2048,5120,0,186.09
metal_rmsnorm_f16,4096,5120,0,195.24
metal_rmsnorm_f16,8192,5120,0,253.07
metal_rmsnorm_f16,1,6144,0,184.54
metal_rmsnorm_f16,2,6144,0,200.10
metal_rmsnorm_f16,4,6144,0,186.22
metal_rmsnorm_f16,8,6144,0,199.22
metal_rmsnorm_f16,16,6144,0,198.90
metal_rmsnorm_f16,32,6144,0,204.94
metal_rmsnorm_f16,64,6144,0,263.16
metal_rmsnorm_f16,128,6144,0,190.40
metal_rmsnorm_f16,256,6144,0,186.01
metal_rmsnorm_f16,512,6144,0,205.37
