# Metal GPU cost table — generated by metal_cost_sweep
# Device: Apple M4
# Launch overhead: 16.91 us (subtracted from all timings)
# Timings are compute-only. To get wall-clock time for N separate
# kernel launches, add N * launch_overhead_us.
# Regenerate: cargo run -p ferrite-metal-cost-sweep --release
kernel,M,N,K,cost_us
launch_overhead,0,0,0,16.91
metal_rmsnorm_f16,1,2048,0,251.12
metal_rmsnorm_f16,2,2048,0,265.19
metal_rmsnorm_f16,4,2048,0,299.39
metal_rmsnorm_f16,8,2048,0,250.70
metal_rmsnorm_f16,16,2048,0,288.08
metal_rmsnorm_f16,32,2048,0,283.26
metal_rmsnorm_f16,64,2048,0,258.99
metal_rmsnorm_f16,128,2048,0,257.66
metal_rmsnorm_f16,256,2048,0,215.69
metal_rmsnorm_f16,512,2048,0,305.12
metal_rmsnorm_f16,1024,2048,0,190.71
metal_rmsnorm_f16,2048,2048,0,205.51
metal_rmsnorm_f16,4096,2048,0,186.00
metal_rmsnorm_f16,8192,2048,0,171.08
metal_rmsnorm_f16,1,3072,0,265.40
metal_rmsnorm_f16,2,3072,0,174.32
metal_rmsnorm_f16,4,3072,0,216.12
metal_rmsnorm_f16,8,3072,0,180.63
metal_rmsnorm_f16,16,3072,0,173.87
metal_rmsnorm_f16,32,3072,0,173.26
metal_rmsnorm_f16,64,3072,0,175.75
metal_rmsnorm_f16,128,3072,0,186.76
metal_rmsnorm_f16,256,3072,0,210.18
metal_rmsnorm_f16,512,3072,0,202.43
metal_rmsnorm_f16,1024,3072,0,206.59
metal_rmsnorm_f16,2048,3072,0,220.24
metal_rmsnorm_f16,4096,3072,0,203.42
metal_rmsnorm_f16,8192,3072,0,210.43
metal_rmsnorm_f16,1,4096,0,243.55
metal_rmsnorm_f16,2,4096,0,162.59
metal_rmsnorm_f16,4,4096,0,152.79
metal_rmsnorm_f16,8,4096,0,144.82
metal_rmsnorm_f16,16,4096,0,237.38
metal_rmsnorm_f16,32,4096,0,161.32
metal_rmsnorm_f16,64,4096,0,159.95
metal_rmsnorm_f16,128,4096,0,151.44
metal_rmsnorm_f16,256,4096,0,167.15
metal_rmsnorm_f16,512,4096,0,169.93
metal_rmsnorm_f16,1024,4096,0,159.52
metal_rmsnorm_f16,2048,4096,0,156.00
metal_rmsnorm_f16,4096,4096,0,170.79
metal_rmsnorm_f16,8192,4096,0,172.92
metal_rmsnorm_f16,1,5120,0,155.78
metal_rmsnorm_f16,2,5120,0,166.67
metal_rmsnorm_f16,4,5120,0,155.29
metal_rmsnorm_f16,8,5120,0,156.82
metal_rmsnorm_f16,16,5120,0,154.46
metal_rmsnorm_f16,32,5120,0,153.72
metal_rmsnorm_f16,64,5120,0,157.17
metal_rmsnorm_f16,128,5120,0,169.47
metal_rmsnorm_f16,256,5120,0,171.28
metal_rmsnorm_f16,512,5120,0,180.11
metal_rmsnorm_f16,1024,5120,0,259.21
metal_rmsnorm_f16,2048,5120,0,166.08
metal_rmsnorm_f16,4096,5120,0,154.83
metal_rmsnorm_f16,8192,5120,0,173.74
metal_rmsnorm_f16,1,6144,0,149.27
metal_rmsnorm_f16,2,6144,0,156.20
metal_rmsnorm_f16,4,6144,0,162.24
metal_rmsnorm_f16,8,6144,0,151.01
metal_rmsnorm_f16,16,6144,0,157.84
metal_rmsnorm_f16,32,6144,0,169.39
metal_rmsnorm_f16,64,6144,0,179.90
metal_rmsnorm_f16,128,6144,0,148.80
metal_rmsnorm_f16,256,6144,0,166.34
metal_rmsnorm_f16,512,6144,0,170.75
metal_rmsnorm_f16,1024,6144,0,168.51
metal_rmsnorm_f16,2048,6144,0,251.83
metal_rmsnorm_f16,4096,6144,0,171.83
metal_rmsnorm_f16,8192,6144,0,235.67
metal_rmsnorm_f16,1,7168,0,150.35
metal_rmsnorm_f16,2,7168,0,160.26
metal_rmsnorm_f16,4,7168,0,168.62
metal_rmsnorm_f16,8,7168,0,161.04
metal_rmsnorm_f16,16,7168,0,169.47
metal_rmsnorm_f16,32,7168,0,147.94
metal_rmsnorm_f16,64,7168,0,154.81
metal_rmsnorm_f16,128,7168,0,165.52
metal_rmsnorm_f16,256,7168,0,178.84
metal_rmsnorm_f16,512,7168,0,152.22
metal_rmsnorm_f16,1024,7168,0,158.53
