# GPU cost table — generated by gpu_cost_sweep
# To regenerate, see instructions in scheduled_megakernel_test.rs
kernel,M,N,K,cost_us
cublas,1,2048,2048,9.7
cutlass_64x64_s4,1,2048,2048,13.1
cutlass_64x64_s3,1,2048,2048,13.1
cutlass_64x128_s4,1,2048,2048,19.6
cutlass_64x128_s3,1,2048,2048,19.6
cutlass_128x64_s4,1,2048,2048,19.8
cutlass_128x64_s3,1,2048,2048,19.8
cutlass_128x128_s4,1,2048,2048,36.0
cutlass_128x128_s3,1,2048,2048,36.0
cutlass_128x256_s3,1,2048,2048,70.2
cutlass_256x64_s4,1,2048,2048,37.0
cutlass_256x64_s3,1,2048,2048,36.9
cutlass_256x128_s3,1,2048,2048,1.7
cublas,2,2048,2048,13.8
cutlass_64x64_s4,2,2048,2048,13.0
cutlass_64x64_s3,2,2048,2048,13.0
cutlass_64x128_s4,2,2048,2048,19.6
cutlass_64x128_s3,2,2048,2048,19.6
cutlass_128x64_s4,2,2048,2048,19.8
cutlass_128x64_s3,2,2048,2048,19.7
cutlass_128x128_s4,2,2048,2048,36.0
cutlass_128x128_s3,2,2048,2048,36.0
cutlass_128x256_s3,2,2048,2048,70.1
cutlass_256x64_s4,2,2048,2048,36.9
cutlass_256x64_s3,2,2048,2048,36.9
cutlass_256x128_s3,2,2048,2048,1.6
cublas,4,2048,2048,14.0
cutlass_64x64_s4,4,2048,2048,13.0
cutlass_64x64_s3,4,2048,2048,13.0
cutlass_64x128_s4,4,2048,2048,19.6
cutlass_64x128_s3,4,2048,2048,19.6
cutlass_128x64_s4,4,2048,2048,19.8
cutlass_128x64_s3,4,2048,2048,19.8
cutlass_128x128_s4,4,2048,2048,36.0
cutlass_128x128_s3,4,2048,2048,36.0
cutlass_128x256_s3,4,2048,2048,70.2
cutlass_256x64_s4,4,2048,2048,36.9
cutlass_256x64_s3,4,2048,2048,36.9
cutlass_256x128_s3,4,2048,2048,1.5
cublas,8,2048,2048,13.7
cutlass_64x64_s4,8,2048,2048,13.0
cutlass_64x64_s3,8,2048,2048,13.1
cutlass_64x128_s4,8,2048,2048,19.6
cutlass_64x128_s3,8,2048,2048,19.6
cutlass_128x64_s4,8,2048,2048,19.8
cutlass_128x64_s3,8,2048,2048,19.7
cutlass_128x128_s4,8,2048,2048,36.0
cutlass_128x128_s3,8,2048,2048,36.0
cutlass_128x256_s3,8,2048,2048,70.1
cutlass_256x64_s4,8,2048,2048,36.9
cutlass_256x64_s3,8,2048,2048,36.9
cutlass_256x128_s3,8,2048,2048,1.5
cublas,16,2048,2048,14.2
cutlass_64x64_s4,16,2048,2048,13.0
cutlass_64x64_s3,16,2048,2048,13.1
cutlass_64x128_s4,16,2048,2048,19.6
cutlass_64x128_s3,16,2048,2048,19.6
cutlass_128x64_s4,16,2048,2048,19.8
cutlass_128x64_s3,16,2048,2048,19.8
cutlass_128x128_s4,16,2048,2048,36.0
cutlass_128x128_s3,16,2048,2048,36.0
cutlass_128x256_s3,16,2048,2048,70.1
cutlass_256x64_s4,16,2048,2048,37.0
cutlass_256x64_s3,16,2048,2048,36.9
cutlass_256x128_s3,16,2048,2048,1.5
cublas,32,2048,2048,17.3
cutlass_64x64_s4,32,2048,2048,13.1
cutlass_64x64_s3,32,2048,2048,13.2
cutlass_64x128_s4,32,2048,2048,19.6
cutlass_64x128_s3,32,2048,2048,19.8
cutlass_128x64_s4,32,2048,2048,19.8
cutlass_128x64_s3,32,2048,2048,19.8
cutlass_128x128_s4,32,2048,2048,36.0
cutlass_128x128_s3,32,2048,2048,36.1
cutlass_128x256_s3,32,2048,2048,70.1
cutlass_256x64_s4,32,2048,2048,37.0
cutlass_256x64_s3,32,2048,2048,37.0
cutlass_256x128_s3,32,2048,2048,1.6
cublas,64,2048,2048,12.7
cutlass_64x64_s4,64,2048,2048,13.4
cutlass_64x64_s3,64,2048,2048,14.3
cutlass_64x128_s4,64,2048,2048,19.8
cutlass_64x128_s3,64,2048,2048,19.8
cutlass_128x64_s4,64,2048,2048,19.9
cutlass_128x64_s3,64,2048,2048,19.9
cutlass_128x128_s4,64,2048,2048,36.0
cutlass_128x128_s3,64,2048,2048,36.2
cutlass_128x256_s3,64,2048,2048,70.2
cutlass_256x64_s4,64,2048,2048,37.0
cutlass_256x64_s3,64,2048,2048,37.0
cutlass_256x128_s3,64,2048,2048,1.7
cublas,128,2048,2048,20.5
cutlass_64x64_s4,128,2048,2048,22.1
cutlass_64x64_s3,128,2048,2048,22.2
cutlass_64x128_s4,128,2048,2048,20.4
cutlass_64x128_s3,128,2048,2048,20.2
cutlass_128x64_s4,128,2048,2048,20.8
cutlass_128x64_s3,128,2048,2048,20.2
cutlass_128x128_s4,128,2048,2048,36.2
cutlass_128x128_s3,128,2048,2048,36.2
cutlass_128x256_s3,128,2048,2048,70.4
cutlass_256x64_s4,128,2048,2048,37.2
cutlass_256x64_s3,128,2048,2048,37.2
cutlass_256x128_s3,128,2048,2048,1.6
cublas,256,2048,2048,34.2
cutlass_64x64_s4,256,2048,2048,37.7
cutlass_64x64_s3,256,2048,2048,36.0
cutlass_64x128_s4,256,2048,2048,37.6
cutlass_64x128_s3,256,2048,2048,37.4
cutlass_128x64_s4,256,2048,2048,38.1
cutlass_128x64_s3,256,2048,2048,37.5
cutlass_128x128_s4,256,2048,2048,36.5
cutlass_128x128_s3,256,2048,2048,36.5
cutlass_128x256_s3,256,2048,2048,70.5
cutlass_256x64_s4,256,2048,2048,38.8
cutlass_256x64_s3,256,2048,2048,37.7
cutlass_256x128_s3,256,2048,2048,1.7
cublas,512,2048,2048,56.5
cutlass_64x64_s4,512,2048,2048,73.9
cutlass_64x64_s3,512,2048,2048,88.9
cutlass_64x128_s4,512,2048,2048,61.9
cutlass_64x128_s3,512,2048,2048,76.7
cutlass_128x64_s4,512,2048,2048,62.7
cutlass_128x64_s3,512,2048,2048,74.2
cutlass_128x128_s4,512,2048,2048,72.6
cutlass_128x128_s3,512,2048,2048,73.7
cutlass_128x256_s3,512,2048,2048,72.9
cutlass_256x64_s4,512,2048,2048,79.9
cutlass_256x64_s3,512,2048,2048,77.3
cutlass_256x128_s3,512,2048,2048,1.8
cublas,1024,2048,2048,96.1
cutlass_64x64_s4,1024,2048,2048,127.6
cutlass_64x64_s3,1024,2048,2048,152.1
cutlass_64x128_s4,1024,2048,2048,111.0
cutlass_64x128_s3,1024,2048,2048,124.0
cutlass_128x64_s4,1024,2048,2048,112.6
cutlass_128x64_s3,1024,2048,2048,111.7
cutlass_128x128_s4,1024,2048,2048,120.4
cutlass_128x128_s3,1024,2048,2048,119.5
cutlass_128x256_s3,1024,2048,2048,156.1
cutlass_256x64_s4,1024,2048,2048,124.5
cutlass_256x64_s3,1024,2048,2048,117.8
cutlass_256x128_s3,1024,2048,2048,1.7
cublas,2048,2048,2048,179.3
cutlass_64x64_s4,2048,2048,2048,255.6
cutlass_64x64_s3,2048,2048,2048,271.0
cutlass_64x128_s4,2048,2048,2048,213.8
cutlass_64x128_s3,2048,2048,2048,218.0
cutlass_128x64_s4,2048,2048,2048,218.3
cutlass_128x64_s3,2048,2048,2048,217.1
cutlass_128x128_s4,2048,2048,2048,211.2
cutlass_128x128_s3,2048,2048,2048,206.3
cutlass_128x256_s3,2048,2048,2048,240.7
cutlass_256x64_s4,2048,2048,2048,204.1
cutlass_256x64_s3,2048,2048,2048,198.2
cutlass_256x128_s3,2048,2048,2048,1.5
cublas,4096,2048,2048,351.6
cutlass_64x64_s4,4096,2048,2048,537.6
cutlass_64x64_s3,4096,2048,2048,563.9
cutlass_64x128_s4,4096,2048,2048,437.8
cutlass_64x128_s3,4096,2048,2048,437.9
cutlass_128x64_s4,4096,2048,2048,439.3
cutlass_128x64_s3,4096,2048,2048,433.3
cutlass_128x128_s4,4096,2048,2048,398.7
cutlass_128x128_s3,4096,2048,2048,386.6
cutlass_128x256_s3,4096,2048,2048,408.9
cutlass_256x64_s4,4096,2048,2048,371.9
cutlass_256x64_s3,4096,2048,2048,369.8
cutlass_256x128_s3,4096,2048,2048,1.5
cublas,1,3072,2048,14.4
cutlass_64x64_s4,1,3072,2048,15.0
cutlass_64x64_s3,1,3072,2048,15.5
cutlass_64x128_s4,1,3072,2048,23.3
cutlass_64x128_s3,1,3072,2048,23.3
cutlass_128x64_s4,1,3072,2048,23.5
cutlass_128x64_s3,1,3072,2048,23.5
cutlass_128x128_s4,1,3072,2048,42.9
cutlass_128x128_s3,1,3072,2048,42.9
cutlass_128x256_s3,1,3072,2048,83.6
cutlass_256x64_s4,1,3072,2048,44.0
cutlass_256x64_s3,1,3072,2048,40.2
cutlass_256x128_s3,1,3072,2048,1.5
cublas,2,3072,2048,15.4
cutlass_64x64_s4,2,3072,2048,14.1
cutlass_64x64_s3,2,3072,2048,14.2
cutlass_64x128_s4,2,3072,2048,21.3
cutlass_64x128_s3,2,3072,2048,21.3
cutlass_128x64_s4,2,3072,2048,21.4
cutlass_128x64_s3,2,3072,2048,21.4
cutlass_128x128_s4,2,3072,2048,39.1
cutlass_128x128_s3,2,3072,2048,39.1
cutlass_128x256_s3,2,3072,2048,76.0
cutlass_256x64_s4,2,3072,2048,38.6
cutlass_256x64_s3,2,3072,2048,38.6
cutlass_256x128_s3,2,3072,2048,1.5
cublas,4,3072,2048,14.9
cutlass_64x64_s4,4,3072,2048,13.7
cutlass_64x64_s3,4,3072,2048,13.7
cutlass_64x128_s4,4,3072,2048,20.5
cutlass_64x128_s3,4,3072,2048,20.5
cutlass_128x64_s4,4,3072,2048,20.6
cutlass_128x64_s3,4,3072,2048,20.7
cutlass_128x128_s4,4,3072,2048,37.6
cutlass_128x128_s3,4,3072,2048,37.7
cutlass_128x256_s3,4,3072,2048,72.5
cutlass_256x64_s4,4,3072,2048,38.0
cutlass_256x64_s3,4,3072,2048,37.9
cutlass_256x128_s3,4,3072,2048,1.7
cublas,8,3072,2048,14.7
cutlass_64x64_s4,8,3072,2048,13.5
cutlass_64x64_s3,8,3072,2048,13.5
cutlass_64x128_s4,8,3072,2048,20.3
cutlass_64x128_s3,8,3072,2048,20.3
cutlass_128x64_s4,8,3072,2048,20.4
cutlass_128x64_s3,8,3072,2048,20.5
cutlass_128x128_s4,8,3072,2048,37.2
cutlass_128x128_s3,8,3072,2048,37.2
cutlass_128x256_s3,8,3072,2048,71.2
cutlass_256x64_s4,8,3072,2048,37.5
cutlass_256x64_s3,8,3072,2048,37.5
cutlass_256x128_s3,8,3072,2048,1.5
cublas,16,3072,2048,15.2
cutlass_64x64_s4,16,3072,2048,13.4
cutlass_64x64_s3,16,3072,2048,13.4
cutlass_64x128_s4,16,3072,2048,19.9
cutlass_64x128_s3,16,3072,2048,19.9
cutlass_128x64_s4,16,3072,2048,20.1
cutlass_128x64_s3,16,3072,2048,20.2
cutlass_128x128_s4,16,3072,2048,36.6
cutlass_128x128_s3,16,3072,2048,36.4
cutlass_128x256_s3,16,3072,2048,70.7
cutlass_256x64_s4,16,3072,2048,37.3
cutlass_256x64_s3,16,3072,2048,37.3
cutlass_256x128_s3,16,3072,2048,1.5
cublas,32,3072,2048,17.7
cutlass_64x64_s4,32,3072,2048,13.3
cutlass_64x64_s3,32,3072,2048,13.7
cutlass_64x128_s4,32,3072,2048,19.9
cutlass_64x128_s3,32,3072,2048,19.9
cutlass_128x64_s4,32,3072,2048,20.0
cutlass_128x64_s3,32,3072,2048,20.0
cutlass_128x128_s4,32,3072,2048,36.4
cutlass_128x128_s3,32,3072,2048,36.4
cutlass_128x256_s3,32,3072,2048,70.7
cutlass_256x64_s4,32,3072,2048,37.4
cutlass_256x64_s3,32,3072,2048,37.4
cutlass_256x128_s3,32,3072,2048,1.5
cublas,64,3072,2048,15.3
cutlass_64x64_s4,64,3072,2048,15.1
cutlass_64x64_s3,64,3072,2048,15.6
cutlass_64x128_s4,64,3072,2048,20.0
cutlass_64x128_s3,64,3072,2048,20.0
cutlass_128x64_s4,64,3072,2048,20.2
cutlass_128x64_s3,64,3072,2048,20.2
cutlass_128x128_s4,64,3072,2048,36.5
