engine,model,input_len,output_len,duration_s,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms
python,Qwen/Qwen2.5-3B-Instruct,32,128,12.36,40.47,5180.08,6475.10,8623.90,7500.06,10056.94,19.04,19.31,19.60,19.04,18.12,63.18
python,Qwen/Qwen2.5-3B-Instruct,32,256,17.35,28.81,7375.72,8297.68,9832.15,7459.18,12588.93,19.37,19.68,19.81,19.37,18.91,29.21
python,Qwen/Qwen2.5-3B-Instruct,32,512,21.79,22.94,11746.10,12480.23,5771.25,653.79,11361.45,20.63,20.72,20.83,20.63,20.40,29.47
python,Qwen/Qwen2.5-3B-Instruct,32,1024,49.56,10.09,10330.28,10653.10,12661.90,626.38,25545.01,23.89,23.90,24.26,23.89,23.71,31.03
python,Qwen/Qwen2.5-3B-Instruct,128,128,7.39,67.66,8660.65,17321.30,2639.66,1542.95,4987.58,24.22,25.70,26.17,24.23,19.45,75.59
python,Qwen/Qwen2.5-3B-Instruct,128,256,12.72,39.30,10060.43,15090.64,3913.28,1485.36,7663.26,22.61,23.40,23.78,22.62,20.23,76.11
python,Qwen/Qwen2.5-3B-Instruct,128,512,24.70,20.24,10365.10,12956.37,6881.82,1505.07,13745.28,22.97,23.35,23.70,22.97,21.79,76.73
python,Qwen/Qwen2.5-3B-Instruct,128,1024,53.91,9.28,9497.90,10685.14,14175.55,1506.99,28753.86,25.72,25.88,26.52,25.72,24.97,71.06
python,Qwen/Qwen2.5-3B-Instruct,512,128,16.17,30.92,3957.46,19787.30,6594.83,5610.14,13460.61,49.34,54.91,60.30,49.35,24.74,96.74
python,Qwen/Qwen2.5-3B-Instruct,512,256,23.14,21.60,5530.81,16592.44,8353.78,5529.21,17237.93,38.26,40.82,45.06,38.27,25.02,116.59
python,Qwen/Qwen2.5-3B-Instruct,512,512,39.01,12.82,6562.85,13125.70,12379.63,5577.99,25922.87,34.51,35.59,39.46,34.51,26.73,152.68
python,Qwen/Qwen2.5-3B-Instruct,512,1024,74.43,6.72,6878.88,10318.31,21240.21,5608.99,44812.64,34.48,34.96,38.15,34.48,29.87,181.22
python,Qwen/Qwen2.5-3B-Instruct,1024,128,39.62,12.62,1615.46,14539.12,15973.98,14423.86,36809.07,120.41,130.78,164.01,120.43,161.07,169.55
