engine,model,variant,iter,startup_s
python,Qwen2.5-3B-Instruct,cold,1,51.2028
python,Qwen2.5-3B-Instruct,cold,2,52.1938
python,Qwen2.5-3B-Instruct,cold,3,50.5246
python,Qwen2.5-3B-Instruct,cold,4,51.1877
python,Qwen2.5-3B-Instruct,cold,5,51.3293
python,Qwen2.5-3B-Instruct,cold,6,51.6761
python,Qwen2.5-3B-Instruct,cold,7,51.2162
python,Qwen2.5-3B-Instruct,cold,8,51.2167
python,Qwen2.5-3B-Instruct,cold,9,52.2121
python,Qwen2.5-3B-Instruct,cold,10,51.2278
python,Qwen2.5-3B-Instruct,cold,11,51.0755
python,Qwen2.5-3B-Instruct,cold,12,51.4094
python,Qwen2.5-3B-Instruct,cold,13,50.9063
python,Qwen2.5-3B-Instruct,cold,14,51.3339
python,Qwen2.5-3B-Instruct,cold,15,50.8641
python,Qwen2.5-3B-Instruct,cold,16,51.7007
python,Qwen2.5-3B-Instruct,cold,17,52.0140
python,Qwen2.5-3B-Instruct,cold,18,51.3648
python,Qwen2.5-3B-Instruct,cold,19,50.8699
python,Qwen2.5-3B-Instruct,cold,20,50.6694
python,Qwen2.5-3B-Instruct,cold,21,51.5506
python,Qwen2.5-3B-Instruct,cold,22,51.1801
python,Qwen2.5-3B-Instruct,cold,23,50.8805
python,Qwen2.5-3B-Instruct,cold,24,51.1337
python,Qwen2.5-3B-Instruct,cold,25,50.9466
python,Qwen2.5-3B-Instruct,cold,26,51.3162
python,Qwen2.5-3B-Instruct,cold,27,51.7137
python,Qwen2.5-3B-Instruct,cold,28,51.2638
python,Qwen2.5-3B-Instruct,cold,29,52.3674
python,Qwen2.5-3B-Instruct,cold,30,51.4651
python,Qwen2.5-3B-Instruct,cold,31,52.5567
python,Qwen2.5-3B-Instruct,cold,32,51.4568
python,Qwen2.5-3B-Instruct,cold,33,51.1768
python,Qwen2.5-3B-Instruct,cold,34,51.1622
python,Qwen2.5-3B-Instruct,cold,35,51.3211
python,Qwen2.5-3B-Instruct,cold,36,51.1623
python,Qwen2.5-3B-Instruct,cold,37,51.2874
python,Qwen2.5-3B-Instruct,cold,38,50.9934
python,Qwen2.5-3B-Instruct,cold,39,53.4780
python,Qwen2.5-3B-Instruct,cold,40,51.5442
python,Qwen2.5-3B-Instruct,cold,41,50.9599
python,Qwen2.5-3B-Instruct,cold,42,50.9442
python,Qwen2.5-3B-Instruct,cold,43,51.5833
python,Qwen2.5-3B-Instruct,cold,44,51.5894
python,Qwen2.5-3B-Instruct,cold,45,51.2429
python,Qwen2.5-3B-Instruct,cold,46,51.5738
python,Qwen2.5-3B-Instruct,cold,47,51.1510
python,Qwen2.5-3B-Instruct,cold,48,51.5652
python,Qwen2.5-3B-Instruct,cold,49,51.4588
python,Qwen2.5-3B-Instruct,cold,50,50.6659
python,Qwen2.5-3B-Instruct,cold,51,50.9142
python,Qwen2.5-3B-Instruct,cold,52,50.8185
python,Qwen2.5-3B-Instruct,cold,53,51.5746
python,Qwen2.5-3B-Instruct,cold,54,52.2480
python,Qwen2.5-3B-Instruct,cold,55,51.7899
python,Qwen2.5-3B-Instruct,cold,56,51.0239
python,Qwen2.5-3B-Instruct,cold,57,51.6009
python,Qwen2.5-3B-Instruct,cold,58,52.4121
python,Qwen2.5-3B-Instruct,cold,59,51.0766
python,Qwen2.5-3B-Instruct,cold,60,51.8607
python,Qwen2.5-3B-Instruct,cold,61,51.3984
python,Qwen2.5-3B-Instruct,cold,62,50.8108
python,Qwen2.5-3B-Instruct,cold,63,51.0043
python,Qwen2.5-3B-Instruct,cold,64,51.1029
python,Qwen2.5-3B-Instruct,cold,65,51.1615
python,Qwen2.5-3B-Instruct,cold,66,52.5541
python,Qwen2.5-3B-Instruct,cold,67,51.5388
python,Qwen2.5-3B-Instruct,cold,68,51.0651
python,Qwen2.5-3B-Instruct,cold,69,51.0327
python,Qwen2.5-3B-Instruct,cold,70,51.4750
python,Qwen2.5-3B-Instruct,cold,71,51.8925
python,Qwen2.5-3B-Instruct,cold,72,51.2014
python,Qwen2.5-3B-Instruct,cold,73,51.5104
python,Qwen2.5-3B-Instruct,cold,74,51.1914
python,Qwen2.5-3B-Instruct,cold,75,51.1749
python,Qwen2.5-3B-Instruct,cold,76,50.9343
python,Qwen2.5-3B-Instruct,cold,77,51.8576
python,Qwen2.5-3B-Instruct,cold,78,51.0917
python,Qwen2.5-3B-Instruct,cold,79,50.9424
python,Qwen2.5-3B-Instruct,cold,80,53.4899
python,Qwen2.5-3B-Instruct,cold,81,52.1010
python,Qwen2.5-3B-Instruct,cold,82,51.2368
python,Qwen2.5-3B-Instruct,cold,83,51.2702
python,Qwen2.5-3B-Instruct,cold,84,51.3856
python,Qwen2.5-3B-Instruct,cold,85,51.7359
python,Qwen2.5-3B-Instruct,cold,86,51.5209
python,Qwen2.5-3B-Instruct,cold,87,51.8239
python,Qwen2.5-3B-Instruct,cold,88,51.7530
python,Qwen2.5-3B-Instruct,cold,89,52.8359
python,Qwen2.5-3B-Instruct,cold,90,52.2211
python,Qwen2.5-3B-Instruct,cold,91,53.0312
python,Qwen2.5-3B-Instruct,cold,92,59.6156
python,Qwen2.5-3B-Instruct,cold,93,52.7159
python,Qwen2.5-3B-Instruct,cold,94,51.6971
python,Qwen2.5-3B-Instruct,cold,95,52.6770
python,Qwen2.5-3B-Instruct,cold,96,52.6025
python,Qwen2.5-3B-Instruct,cold,97,51.4817
python,Qwen2.5-3B-Instruct,cold,98,63.0567
python,Qwen2.5-3B-Instruct,cold,99,52.2939
python,Qwen2.5-3B-Instruct,cold,100,52.4978
