engine,model,variant,iter,startup_s
python,Qwen2.5-3B-Instruct,warm,1,27.6853
python,Qwen2.5-3B-Instruct,warm,2,27.1401
python,Qwen2.5-3B-Instruct,warm,3,26.4601
python,Qwen2.5-3B-Instruct,warm,4,26.4520
python,Qwen2.5-3B-Instruct,warm,5,26.4835
python,Qwen2.5-3B-Instruct,warm,6,26.2504
python,Qwen2.5-3B-Instruct,warm,7,26.6955
python,Qwen2.5-3B-Instruct,warm,8,26.7847
python,Qwen2.5-3B-Instruct,warm,9,26.8852
python,Qwen2.5-3B-Instruct,warm,10,26.1414
python,Qwen2.5-3B-Instruct,warm,11,25.9831
python,Qwen2.5-3B-Instruct,warm,12,26.6951
python,Qwen2.5-3B-Instruct,warm,13,26.3706
python,Qwen2.5-3B-Instruct,warm,14,26.2484
python,Qwen2.5-3B-Instruct,warm,15,27.8847
python,Qwen2.5-3B-Instruct,warm,16,27.4751
python,Qwen2.5-3B-Instruct,warm,17,26.4262
python,Qwen2.5-3B-Instruct,warm,18,26.3933
python,Qwen2.5-3B-Instruct,warm,19,27.4120
python,Qwen2.5-3B-Instruct,warm,20,26.1938
python,Qwen2.5-3B-Instruct,warm,21,26.8165
python,Qwen2.5-3B-Instruct,warm,22,28.2133
python,Qwen2.5-3B-Instruct,warm,23,26.5252
python,Qwen2.5-3B-Instruct,warm,24,26.7343
python,Qwen2.5-3B-Instruct,warm,25,26.2851
python,Qwen2.5-3B-Instruct,warm,26,26.8656
python,Qwen2.5-3B-Instruct,warm,27,26.3942
python,Qwen2.5-3B-Instruct,warm,28,26.3826
python,Qwen2.5-3B-Instruct,warm,29,26.3774
python,Qwen2.5-3B-Instruct,warm,30,26.8975
python,Qwen2.5-3B-Instruct,warm,31,25.9778
python,Qwen2.5-3B-Instruct,warm,32,26.4918
python,Qwen2.5-3B-Instruct,warm,33,26.2046
python,Qwen2.5-3B-Instruct,warm,34,26.5702
python,Qwen2.5-3B-Instruct,warm,35,26.2159
python,Qwen2.5-3B-Instruct,warm,36,26.2004
python,Qwen2.5-3B-Instruct,warm,37,26.1957
python,Qwen2.5-3B-Instruct,warm,38,26.3833
python,Qwen2.5-3B-Instruct,warm,39,26.5166
python,Qwen2.5-3B-Instruct,warm,40,27.1860
python,Qwen2.5-3B-Instruct,warm,41,26.3707
python,Qwen2.5-3B-Instruct,warm,42,26.5071
python,Qwen2.5-3B-Instruct,warm,43,26.2816
python,Qwen2.5-3B-Instruct,warm,44,26.3417
python,Qwen2.5-3B-Instruct,warm,45,26.3230
python,Qwen2.5-3B-Instruct,warm,46,26.3472
python,Qwen2.5-3B-Instruct,warm,47,27.0053
python,Qwen2.5-3B-Instruct,warm,48,26.2396
python,Qwen2.5-3B-Instruct,warm,49,26.1536
python,Qwen2.5-3B-Instruct,warm,50,26.4431
python,Qwen2.5-3B-Instruct,warm,51,26.3291
