engine,model,block_size,input_len,output_len,req_per_s,total_tok_per_s,output_tok_per_s
python,Qwen/Qwen2.5-14B-Instruct,16,32,128,27.68,4429.08,3543.26
python,Qwen/Qwen2.5-14B-Instruct,16,32,256,12.41,3575.09,3177.86
python,Qwen/Qwen2.5-14B-Instruct,16,32,512,4.31,2342.82,2205.01
python,Qwen/Qwen2.5-14B-Instruct,16,32,1024,1.39,1468.47,1423.97
python,Qwen/Qwen2.5-14B-Instruct,16,64,128,23.75,4559.95,3039.97
python,Qwen/Qwen2.5-14B-Instruct,16,64,256,10.30,3297.01,2637.61
python,Qwen/Qwen2.5-14B-Instruct,16,64,512,3.97,2285.04,2031.15
python,Qwen/Qwen2.5-14B-Instruct,16,64,1024,1.31,1426.16,1342.26
python,Qwen/Qwen2.5-14B-Instruct,16,128,128,17.91,4583.72,2291.86
python,Qwen/Qwen2.5-14B-Instruct,16,128,256,8.19,3144.69,2096.46
python,Qwen/Qwen2.5-14B-Instruct,16,128,512,3.37,2156.29,1725.03
python,Qwen/Qwen2.5-14B-Instruct,16,128,1024,1.19,1365.33,1213.63
python,Qwen/Qwen2.5-14B-Instruct,16,256,128,9.74,3739.65,1246.55
python,Qwen/Qwen2.5-14B-Instruct,16,256,256,5.45,2792.10,1396.05
python,Qwen/Qwen2.5-14B-Instruct,16,256,512,2.62,2014.02,1342.68
python,Qwen/Qwen2.5-14B-Instruct,16,256,1024,1.02,1302.03,1041.63
python,Qwen/Qwen2.5-14B-Instruct,16,512,128,5.77,3690.15,738.03
python,Qwen/Qwen2.5-14B-Instruct,16,512,256,3.50,2684.17,894.72
python,Qwen/Qwen2.5-14B-Instruct,16,512,512,1.80,1842.38,921.19
python,Qwen/Qwen2.5-14B-Instruct,16,512,1024,0.80,1223.93,815.95
python,Qwen/Qwen2.5-14B-Instruct,16,1024,128,3.16,3638.47,404.27
python,Qwen/Qwen2.5-14B-Instruct,16,1024,256,2.05,2622.08,524.42
python,Qwen/Qwen2.5-14B-Instruct,16,1024,512,1.15,1760.54,586.85
python,Qwen/Qwen2.5-14B-Instruct,16,1024,1024,0.55,1118.87,559.43
python,Qwen/Qwen2.5-14B-Instruct,32,32,128,27.69,4430.43,3544.35
python,Qwen/Qwen2.5-14B-Instruct,32,32,256,12.27,3533.41,3140.81
python,Qwen/Qwen2.5-14B-Instruct,32,32,512,4.33,2353.53,2215.09
python,Qwen/Qwen2.5-14B-Instruct,32,32,1024,1.37,1448.71,1404.80
python,Qwen/Qwen2.5-14B-Instruct,32,64,128,23.72,4554.57,3036.38
python,Qwen/Qwen2.5-14B-Instruct,32,64,256,10.24,3276.11,2620.89
python,Qwen/Qwen2.5-14B-Instruct,32,64,512,3.89,2241.29,1992.26
python,Qwen/Qwen2.5-14B-Instruct,32,64,1024,1.31,1421.06,1337.47
python,Qwen/Qwen2.5-14B-Instruct,32,128,128,17.95,4595.25,2297.62
python,Qwen/Qwen2.5-14B-Instruct,32,128,256,8.29,3182.48,2121.65
python,Qwen/Qwen2.5-14B-Instruct,32,128,512,3.35,2145.33,1716.27
python,Qwen/Qwen2.5-14B-Instruct,32,128,1024,1.18,1361.08,1209.85
python,Qwen/Qwen2.5-14B-Instruct,32,256,128,9.95,3820.02,1273.34
python,Qwen/Qwen2.5-14B-Instruct,32,256,256,5.53,2831.27,1415.63
python,Qwen/Qwen2.5-14B-Instruct,32,256,512,2.64,2031.00,1354.00
python,Qwen/Qwen2.5-14B-Instruct,32,256,1024,1.02,1305.25,1044.20
python,Qwen/Qwen2.5-14B-Instruct,32,512,128,5.85,3746.95,749.39
python,Qwen/Qwen2.5-14B-Instruct,32,512,256,3.56,2733.24,911.08
python,Qwen/Qwen2.5-14B-Instruct,32,512,512,1.81,1853.00,926.50
python,Qwen/Qwen2.5-14B-Instruct,32,512,1024,0.78,1201.71,801.14
python,Qwen/Qwen2.5-14B-Instruct,32,1024,128,3.19,3679.01,408.78
python,Qwen/Qwen2.5-14B-Instruct,32,1024,256,2.05,2625.66,525.13
python,Qwen/Qwen2.5-14B-Instruct,32,1024,512,1.15,1760.89,586.96
python,Qwen/Qwen2.5-14B-Instruct,32,1024,1024,0.54,1103.32,551.66
rust,Qwen/Qwen2.5-14B-Instruct,16,32,128,26.70,4273.15,3418.71
rust,Qwen/Qwen2.5-14B-Instruct,16,32,256,10.39,2993.41,2660.87
rust,Qwen/Qwen2.5-14B-Instruct,16,32,512,3.41,1853.79,1744.76
rust,Qwen/Qwen2.5-14B-Instruct,16,32,1024,0.67,707.37,685.93
rust,Qwen/Qwen2.5-14B-Instruct,16,64,128,22.86,4389.91,2927.16
rust,Qwen/Qwen2.5-14B-Instruct,16,64,256,9.20,2945.52,2356.59
