engine,model,block_size,input_len,output_len,avg,p10,p25,p50,p75,p90,p99
rust,Qwen/Qwen2.5-3B-Instruct,16,32,128,1.3028,1.3021,1.3023,1.3027,1.3029,1.3035,1.3043
rust,Qwen/Qwen2.5-3B-Instruct,16,32,256,2.6052,2.6042,2.6047,2.6052,2.6054,2.6061,2.6063
rust,Qwen/Qwen2.5-3B-Instruct,16,32,512,5.2303,5.2288,5.2291,5.2302,5.2312,5.2322,5.2334
rust,Qwen/Qwen2.5-3B-Instruct,16,32,1024,10.5614,10.5591,10.5598,10.5606,10.5625,10.5656,10.5674
rust,Qwen/Qwen2.5-3B-Instruct,16,64,128,1.3096,1.3087,1.3091,1.3097,1.3101,1.3104,1.3113
rust,Qwen/Qwen2.5-3B-Instruct,16,64,256,2.6137,2.6130,2.6133,2.6135,2.6140,2.6147,2.6152
rust,Qwen/Qwen2.5-3B-Instruct,16,64,512,5.2409,5.2397,5.2403,5.2409,5.2413,5.2417,5.2438
rust,Qwen/Qwen2.5-3B-Instruct,16,64,1024,10.5814,10.5790,10.5798,10.5812,10.5826,10.5835,10.5855
rust,Qwen/Qwen2.5-3B-Instruct,16,128,128,1.3261,1.3256,1.3258,1.3261,1.3263,1.3267,1.3281
rust,Qwen/Qwen2.5-3B-Instruct,16,128,256,2.6331,2.6324,2.6325,2.6330,2.6336,2.6342,2.6348
rust,Qwen/Qwen2.5-3B-Instruct,16,128,512,5.2693,5.2679,5.2683,5.2692,5.2704,5.2710,5.2731
rust,Qwen/Qwen2.5-3B-Instruct,16,128,1024,10.6218,10.6192,10.6206,10.6217,10.6232,10.6241,10.6273
rust,Qwen/Qwen2.5-3B-Instruct,16,256,128,1.3632,1.3622,1.3625,1.3630,1.3635,1.3644,1.3655
rust,Qwen/Qwen2.5-3B-Instruct,16,256,256,2.6753,2.6740,2.6747,2.6752,2.6761,2.6765,2.6813
rust,Qwen/Qwen2.5-3B-Instruct,16,256,512,5.3208,5.3192,5.3200,5.3207,5.3213,5.3222,5.3244
rust,Qwen/Qwen2.5-3B-Instruct,16,256,1024,10.6974,10.6943,10.6957,10.6979,10.6992,10.6997,10.7008
rust,Qwen/Qwen2.5-3B-Instruct,16,512,128,1.4367,1.4358,1.4362,1.4367,1.4374,1.4376,1.4388
rust,Qwen/Qwen2.5-3B-Instruct,16,512,256,2.7616,2.7606,2.7609,2.7616,2.7624,2.7630,2.7636
rust,Qwen/Qwen2.5-3B-Instruct,16,512,512,5.4376,5.4356,5.4365,5.4378,5.4385,5.4398,5.4402
rust,Qwen/Qwen2.5-3B-Instruct,16,512,1024,10.8679,10.8646,10.8662,10.8673,10.8690,10.8715,10.8769
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,128,1.6014,1.5981,1.6004,1.6018,1.6026,1.6035,1.6045
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,256,2.9508,2.9493,2.9496,2.9507,2.9520,2.9527,2.9548
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,512,5.6776,5.6749,5.6762,5.6779,5.6791,5.6800,5.6829
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,1024,11.2107,11.2072,11.2078,11.2102,11.2133,11.2157,11.2174
rust,Qwen/Qwen2.5-3B-Instruct,32,32,128,1.3035,1.3030,1.3032,1.3034,1.3038,1.3040,1.3056
rust,Qwen/Qwen2.5-3B-Instruct,32,32,256,2.6088,2.6083,2.6084,2.6088,2.6091,2.6095,2.6105
rust,Qwen/Qwen2.5-3B-Instruct,32,32,512,5.2349,5.2335,5.2341,5.2349,5.2356,5.2362,5.2373
rust,Qwen/Qwen2.5-3B-Instruct,32,32,1024,10.5559,10.5543,10.5546,10.5556,10.5570,10.5578,10.5596
rust,Qwen/Qwen2.5-3B-Instruct,32,64,128,1.3096,1.3091,1.3093,1.3096,1.3098,1.3102,1.3107
rust,Qwen/Qwen2.5-3B-Instruct,32,64,256,2.6145,2.6134,2.6140,2.6145,2.6148,2.6158,2.6179
rust,Qwen/Qwen2.5-3B-Instruct,32,64,512,5.2406,5.2398,5.2403,5.2406,5.2411,5.2415,5.2428
rust,Qwen/Qwen2.5-3B-Instruct,32,64,1024,10.5763,10.5738,10.5755,10.5763,10.5770,10.5787,10.5794
rust,Qwen/Qwen2.5-3B-Instruct,32,128,128,1.3254,1.3248,1.3252,1.3255,1.3259,1.3262,1.3265
rust,Qwen/Qwen2.5-3B-Instruct,32,128,256,2.6332,2.6323,2.6326,2.6332,2.6339,2.6342,2.6348
rust,Qwen/Qwen2.5-3B-Instruct,32,128,512,5.2702,5.2688,5.2692,5.2701,5.2708,5.2722,5.2740
rust,Qwen/Qwen2.5-3B-Instruct,32,128,1024,10.6115,10.6090,10.6099,10.6109,10.6125,10.6139,10.6202
rust,Qwen/Qwen2.5-3B-Instruct,32,256,128,1.3623,1.3616,1.3619,1.3623,1.3626,1.3630,1.3634
rust,Qwen/Qwen2.5-3B-Instruct,32,256,256,2.6751,2.6740,2.6741,2.6750,2.6761,2.6765,2.6770
rust,Qwen/Qwen2.5-3B-Instruct,32,256,512,5.3241,5.3211,5.3226,5.3239,5.3254,5.3277,5.3305
rust,Qwen/Qwen2.5-3B-Instruct,32,256,1024,10.7036,10.7015,10.7022,10.7034,10.7051,10.7060,10.7085
rust,Qwen/Qwen2.5-3B-Instruct,32,512,128,1.4377,1.4370,1.4373,1.4377,1.4379,1.4383,1.4402
rust,Qwen/Qwen2.5-3B-Instruct,32,512,256,2.7619,2.7611,2.7613,2.7617,2.7623,2.7627,2.7650
rust,Qwen/Qwen2.5-3B-Instruct,32,512,512,5.4349,5.4330,5.4338,5.4346,5.4363,5.4374,5.4396
rust,Qwen/Qwen2.5-3B-Instruct,32,512,1024,10.8634,10.8605,10.8613,10.8625,10.8645,10.8671,10.8729
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,128,1.5998,1.5983,1.5985,1.5995,1.6010,1.6019,1.6025
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,256,2.9527,2.9505,2.9520,2.9529,2.9534,2.9541,2.9549
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,512,5.6802,5.6774,5.6783,5.6807,5.6820,5.6825,5.6853
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,1024,11.1976,11.1922,11.1944,11.1977,11.2010,11.2019,11.2052
rust,Qwen/Qwen2.5-7B-Instruct,16,32,128,2.6795,2.6788,2.6791,2.6795,2.6798,2.6801,2.6806
rust,Qwen/Qwen2.5-7B-Instruct,16,32,256,5.3564,5.3556,5.3558,5.3562,5.3569,5.3575,5.3588
rust,Qwen/Qwen2.5-7B-Instruct,16,32,512,10.7493,10.7482,10.7485,10.7490,10.7501,10.7512,10.7531
rust,Qwen/Qwen2.5-7B-Instruct,16,32,1024,21.6568,21.6538,21.6546,21.6562,21.6589,21.6596,21.6629
rust,Qwen/Qwen2.5-7B-Instruct,16,64,128,2.6921,2.6915,2.6916,2.6920,2.6925,2.6930,2.6939
rust,Qwen/Qwen2.5-7B-Instruct,16,64,256,5.3754,5.3742,5.3747,5.3753,5.3759,5.3768,5.3775
rust,Qwen/Qwen2.5-7B-Instruct,16,64,512,10.7718,10.7697,10.7703,10.7713,10.7727,10.7739,10.7793
rust,Qwen/Qwen2.5-7B-Instruct,16,64,1024,21.6777,21.6763,21.6765,21.6779,21.6788,21.6794,21.6801
rust,Qwen/Qwen2.5-7B-Instruct,16,128,128,2.7292,2.7283,2.7288,2.7293,2.7298,2.7300,2.7315
rust,Qwen/Qwen2.5-7B-Instruct,16,128,256,5.4184,5.4171,5.4175,5.4180,5.4192,5.4200,5.4212
rust,Qwen/Qwen2.5-7B-Instruct,16,128,512,10.8167,10.8154,10.8158,10.8166,10.8175,10.8183,10.8195
rust,Qwen/Qwen2.5-7B-Instruct,16,128,1024,21.7542,21.7515,21.7524,21.7540,21.7561,21.7572,21.7606
rust,Qwen/Qwen2.5-7B-Instruct,16,256,128,2.8054,2.8043,2.8050,2.8054,2.8058,2.8064,2.8078
rust,Qwen/Qwen2.5-7B-Instruct,16,256,256,5.5031,5.5011,5.5020,5.5034,5.5040,5.5052,5.5060
rust,Qwen/Qwen2.5-7B-Instruct,16,256,512,10.9271,10.9230,10.9239,10.9261,10.9280,10.9296,10.9525
rust,Qwen/Qwen2.5-7B-Instruct,16,256,1024,21.9190,21.9153,21.9176,21.9187,21.9205,21.9229,21.9274
rust,Qwen/Qwen2.5-7B-Instruct,16,512,128,2.9740,2.9716,2.9721,2.9736,2.9761,2.9768,2.9777
rust,Qwen/Qwen2.5-7B-Instruct,16,512,256,5.6849,5.6822,5.6836,5.6848,5.6864,5.6874,5.6903
rust,Qwen/Qwen2.5-7B-Instruct,16,512,512,11.1589,11.1541,11.1553,11.1601,11.1615,11.1649,11.1685
rust,Qwen/Qwen2.5-7B-Instruct,16,512,1024,22.2273,22.2221,22.2234,22.2273,22.2304,22.2341,22.2405
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,128,3.3229,3.3181,3.3212,3.3236,3.3251,3.3264,3.3277
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,256,6.0891,6.0851,6.0864,6.0890,6.0912,6.0928,6.0969
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,512,11.6514,11.6387,11.6441,11.6497,11.6580,11.6633,11.6777
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,1024,22.8834,22.8723,22.8800,22.8857,22.8887,22.8914,22.8932
rust,Qwen/Qwen2.5-7B-Instruct,32,32,128,2.6801,2.6796,2.6797,2.6799,2.6803,2.6806,2.6814
rust,Qwen/Qwen2.5-7B-Instruct,32,32,256,5.3590,5.3583,5.3584,5.3588,5.3592,5.3600,5.3608
rust,Qwen/Qwen2.5-7B-Instruct,32,32,512,10.7492,10.7476,10.7482,10.7490,10.7500,10.7510,10.7539
rust,Qwen/Qwen2.5-7B-Instruct,32,32,1024,21.6520,21.6504,21.6508,21.6520,21.6527,21.6544,21.6562
rust,Qwen/Qwen2.5-7B-Instruct,32,64,128,2.6922,2.6914,2.6918,2.6921,2.6923,2.6928,2.6951
rust,Qwen/Qwen2.5-7B-Instruct,32,64,256,5.3761,5.3748,5.3750,5.3759,5.3770,5.3777,5.3795
rust,Qwen/Qwen2.5-7B-Instruct,32,64,512,10.7669,10.7652,10.7658,10.7672,10.7680,10.7691,10.7697
rust,Qwen/Qwen2.5-7B-Instruct,32,64,1024,21.6845,21.6816,21.6823,21.6844,21.6859,21.6880,21.6912
rust,Qwen/Qwen2.5-7B-Instruct,32,128,128,2.7292,2.7286,2.7288,2.7293,2.7298,2.7299,2.7307
rust,Qwen/Qwen2.5-7B-Instruct,32,128,256,5.4148,5.4135,5.4140,5.4147,5.4158,5.4165,5.4169
rust,Qwen/Qwen2.5-7B-Instruct,32,128,512,10.8250,10.8223,10.8242,10.8251,10.8261,10.8274,10.8281
rust,Qwen/Qwen2.5-7B-Instruct,32,128,1024,21.7651,21.7595,21.7606,21.7621,21.7640,21.7692,21.8306
rust,Qwen/Qwen2.5-7B-Instruct,32,256,128,2.8046,2.8031,2.8039,2.8047,2.8051,2.8061,2.8074
rust,Qwen/Qwen2.5-7B-Instruct,32,256,256,5.5046,5.5026,5.5033,5.5040,5.5055,5.5069,5.5158
rust,Qwen/Qwen2.5-7B-Instruct,32,256,512,10.9281,10.9259,10.9270,10.9286,10.9293,10.9301,10.9313
rust,Qwen/Qwen2.5-7B-Instruct,32,256,1024,21.9104,21.9068,21.9077,21.9109,21.9124,21.9133,21.9171
rust,Qwen/Qwen2.5-7B-Instruct,32,512,128,2.9699,2.9676,2.9684,2.9700,2.9707,2.9717,2.9795
rust,Qwen/Qwen2.5-7B-Instruct,32,512,256,5.6872,5.6842,5.6851,5.6875,5.6883,5.6904,5.6933
rust,Qwen/Qwen2.5-7B-Instruct,32,512,512,11.1560,11.1504,11.1519,11.1554,11.1581,11.1625,11.1733
rust,Qwen/Qwen2.5-7B-Instruct,32,512,1024,22.2287,22.2220,22.2257,22.2283,22.2310,22.2357,22.2423
rust,Qwen/Qwen2.5-7B-Instruct,32,1024,128,3.3263,3.3218,3.3247,3.3267,3.3283,3.3292,3.3363
rust,Qwen/Qwen2.5-7B-Instruct,32,1024,256,6.0874,6.0815,6.0838,6.0868,6.0907,6.0935,6.1008
rust,Qwen/Qwen2.5-7B-Instruct,32,1024,512,11.6409,11.6350,11.6354,11.6388,11.6435,11.6501,11.6572
rust,Qwen/Qwen2.5-7B-Instruct,32,1024,1024,22.8825,22.8744,22.8769,22.8827,22.8874,22.8898,22.9078
