engine,model,input_len,output_len,duration_s,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms
rust,Qwen/Qwen2.5-3B-Instruct,32,128,4.73,105.72,13531.67,16914.59,1356.43,386.96,2683.26,17.11,17.45,17.65,17.11,16.04,44.57
rust,Qwen/Qwen2.5-3B-Instruct,32,256,9.25,54.04,13833.15,15562.29,2476.94,410.65,4967.23,17.36,17.68,17.77,17.36,16.87,44.00
rust,Qwen/Qwen2.5-3B-Instruct,32,512,19.64,25.46,13034.41,13849.07,5022.22,416.51,10191.85,18.82,18.99,19.05,18.82,18.58,33.70
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,45.09,11.09,11355.52,11710.38,11279.82,384.57,23014.05,21.84,22.02,22.05,21.84,21.77,28.41
rust,Qwen/Qwen2.5-3B-Instruct,128,128,6.17,80.99,10366.23,20732.46,2087.72,1218.11,4064.85,20.70,22.05,22.52,20.70,17.02,46.47
rust,Qwen/Qwen2.5-3B-Instruct,128,256,10.78,46.39,11876.44,17814.65,3148.50,1129.81,6325.74,19.50,20.28,20.46,19.50,17.79,45.82
rust,Qwen/Qwen2.5-3B-Instruct,128,512,21.45,23.31,11936.10,14920.12,5764.68,1116.19,11675.49,20.15,20.57,20.63,20.15,19.34,46.45
rust,Qwen/Qwen2.5-3B-Instruct,128,1024,47.71,10.48,10730.95,12072.32,12158.93,1036.40,24855.28,22.88,23.06,23.18,22.88,22.61,43.88
rust,Qwen/Qwen2.5-3B-Instruct,512,128,8.82,56.66,7252.48,36262.41,3496.15,2827.25,6576.47,26.64,29.88,30.56,26.64,19.10,48.52
rust,Qwen/Qwen2.5-3B-Instruct,512,256,13.99,35.74,9149.47,27448.42,4695.11,2772.37,9239.44,23.34,24.76,25.01,23.34,19.62,48.14
rust,Qwen/Qwen2.5-3B-Instruct,512,512,26.47,18.89,9670.90,19341.79,8075.30,3418.84,15765.88,23.39,24.21,24.80,23.39,21.67,47.65
rust,Qwen/Qwen2.5-3B-Instruct,512,1024,53.88,9.28,9502.52,14253.78,14566.68,2777.99,29438.83,25.17,25.48,25.80,25.17,24.53,50.49
rust,Qwen/Qwen2.5-3B-Instruct,1024,128,10.38,48.15,6163.58,55472.22,4352.12,3675.03,8145.19,29.52,32.78,34.91,29.52,31.51,50.29
rust,Qwen/Qwen2.5-3B-Instruct,1024,256,15.44,32.38,8288.74,41443.69,5422.94,3450.04,10337.12,25.03,26.31,27.42,25.03,21.03,50.45
rust,Qwen/Qwen2.5-3B-Instruct,1024,512,28.52,17.53,8975.97,26927.90,8898.87,3995.57,17311.40,24.77,25.47,26.15,24.77,22.79,51.48
rust,Qwen/Qwen2.5-3B-Instruct,1024,1024,57.41,8.71,8918.23,17836.46,15751.47,3531.59,31440.72,26.57,26.78,27.21,26.57,25.70,51.97
rust,Qwen/Qwen2.5-7B-Instruct,32,128,9.75,51.31,6567.22,8209.02,2800.49,840.10,5573.71,35.25,36.03,36.57,35.25,32.78,95.72
rust,Qwen/Qwen2.5-7B-Instruct,32,256,18.81,26.58,6805.01,7655.64,5000.84,779.98,10070.23,35.34,35.75,36.08,35.34,34.15,95.38
rust,Qwen/Qwen2.5-7B-Instruct,32,512,38.93,12.84,6575.19,6986.14,9927.90,822.20,20209.57,37.33,37.60,37.71,37.33,36.80,67.23
rust,Qwen/Qwen2.5-7B-Instruct,32,1024,87.20,5.73,5871.42,6054.90,21845.88,833.58,44572.22,42.22,42.60,42.68,42.22,41.96,52.79
rust,Qwen/Qwen2.5-7B-Instruct,128,128,12.47,40.08,5130.79,10261.58,4141.00,2420.02,8171.64,42.05,44.52,45.65,42.05,34.22,98.50
rust,Qwen/Qwen2.5-7B-Instruct,128,256,21.73,23.01,5891.36,8837.04,6390.96,2279.98,12742.13,39.06,40.28,40.61,39.06,35.50,96.26
rust,Qwen/Qwen2.5-7B-Instruct,128,512,42.81,11.68,5980.59,7475.74,11617.64,2493.18,23407.78,40.03,40.78,40.97,40.03,38.33,95.59
rust,Qwen/Qwen2.5-7B-Instruct,128,1024,92.10,5.43,5559.25,6254.15,23699.36,2365.84,48324.39,44.08,44.63,44.76,44.08,43.25,95.41
rust,Qwen/Qwen2.5-7B-Instruct,512,128,17.95,27.86,3565.95,17829.75,7250.96,5811.30,13552.72,53.18,59.07,61.73,53.18,37.31,100.65
rust,Qwen/Qwen2.5-7B-Instruct,512,256,28.48,17.56,4495.05,13485.14,9797.79,6017.39,18950.69,47.14,50.49,51.44,47.14,38.55,101.03
rust,Qwen/Qwen2.5-7B-Instruct,512,512,50.35,9.93,5084.87,10169.73,15069.68,6025.26,29919.27,44.83,46.30,47.01,44.83,40.93,98.48
rust,Qwen/Qwen2.5-7B-Instruct,512,1024,100.61,4.97,5088.71,7633.06,26967.03,5186.13,54931.20,47.23,47.89,48.36,47.23,45.63,100.20
