engine,model,input_len,output_len,duration_s,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms
rust,Qwen/Qwen2.5-14B-Instruct,32,128,18.17,27.51,3521.45,4401.81,5211.20,1514.36,10405.44,65.78,66.97,67.99,65.78,61.28,186.13
rust,Qwen/Qwen2.5-14B-Instruct,32,256,45.88,10.90,2790.05,3138.80,9966.02,1510.69,23875.61,71.41,70.30,97.23,71.41,66.79,182.24
rust,Qwen/Qwen2.5-14B-Instruct,32,512,133.32,3.75,1920.22,2040.23,28730.68,1545.53,78000.91,95.43,72.76,175.64,95.43,71.10,182.82
rust,Qwen/Qwen2.5-14B-Instruct,32,1024,616.34,0.81,830.71,856.67,115893.63,1600.83,377001.98,203.00,194.01,361.21,203.00,147.80,197.44
rust,Qwen/Qwen2.5-14B-Instruct,128,128,23.93,20.89,2674.17,5348.35,7993.08,4717.07,15751.49,80.81,85.70,88.82,80.81,65.68,193.40
rust,Qwen/Qwen2.5-14B-Instruct,128,256,66.80,7.49,1916.20,2874.30,13916.07,4661.27,39581.04,85.18,80.50,148.16,85.18,71.04,194.31
rust,Qwen/Qwen2.5-14B-Instruct,128,512,144.39,3.46,1772.97,2216.21,33089.05,4525.63,83690.68,104.57,76.81,193.38,104.57,72.11,201.30
rust,Qwen/Qwen2.5-14B-Instruct,128,1024,601.69,0.83,850.93,957.30,138332.56,4542.87,405047.16,181.91,183.32,334.11,181.91,147.68,216.44
rust,Qwen/Qwen2.5-14B-Instruct,512,128,39.03,12.81,1639.68,8198.41,15821.19,17486.92,31962.48,98.24,101.56,192.61,98.24,69.95,200.67
rust,Qwen/Qwen2.5-14B-Instruct,512,256,77.40,6.46,1653.73,4961.18,26483.31,28386.05,54966.27,88.25,81.78,211.07,88.25,70.10,209.55
rust,Qwen/Qwen2.5-14B-Instruct,512,512,155.57,3.21,1645.52,3291.03,47752.96,46731.72,93693.97,97.85,78.90,220.12,97.85,72.08,298.15
rust,Qwen/Qwen2.5-14B-Instruct,512,1024,535.55,0.93,956.02,1434.04,186597.30,202333.08,341778.56,126.60,123.73,244.02,126.60,74.49,224.99
rust,Qwen/Qwen2.5-14B-Instruct,1024,128,45.92,10.89,1393.62,12542.62,20838.51,20849.48,37815.61,100.80,103.17,137.43,100.80,73.79,207.11
rust,Qwen/Qwen2.5-14B-Instruct,1024,256,86.70,5.77,1476.40,7382.00,37352.92,46635.69,72444.82,87.49,83.49,139.77,87.49,74.81,198.81
rust,Qwen/Qwen2.5-14B-Instruct,1024,512,142.67,3.50,1794.39,5383.18,52137.87,45662.91,97315.88,88.98,82.05,204.68,88.98,74.14,205.74
rust,Qwen/Qwen2.5-14B-Instruct,1024,1024,416.48,1.20,1229.34,2458.67,155363.40,150435.36,323907.53,102.86,90.63,201.68,102.86,78.77,207.44
