engine,model,block_size,input_len,output_len,req_per_s,total_tok_per_s,output_tok_per_s
rust,Qwen/Qwen2.5-3B-Instruct,16,32,128,103.66,16588.94,13271.88
rust,Qwen/Qwen2.5-3B-Instruct,16,32,256,52.96,15252.98,13558.41
rust,Qwen/Qwen2.5-3B-Instruct,16,32,512,25.09,13649.73,12846.85
rust,Qwen/Qwen2.5-3B-Instruct,16,32,1024,11.00,11618.08,11266.03
rust,Qwen/Qwen2.5-3B-Instruct,16,64,128,89.93,17273.98,11518.18
rust,Qwen/Qwen2.5-3B-Instruct,16,64,256,48.93,15661.67,12530.03
rust,Qwen/Qwen2.5-3B-Instruct,16,64,512,23.95,13798.84,12265.82
rust,Qwen/Qwen2.5-3B-Instruct,16,64,1024,10.70,11646.29,10961.25
rust,Qwen/Qwen2.5-3B-Instruct,16,128,128,72.63,18515.79,9307.68
rust,Qwen/Qwen2.5-3B-Instruct,16,128,256,42.75,16370.90,10950.83
rust,Qwen/Qwen2.5-3B-Instruct,16,128,512,22.04,14084.30,11289.59
rust,Qwen/Qwen2.5-3B-Instruct,16,128,1024,10.14,11669.11,10383.69
rust,Qwen/Qwen2.5-3B-Instruct,16,256,128,52.93,20293.43,6790.98
rust,Qwen/Qwen2.5-3B-Instruct,16,256,256,34.40,17594.83,8817.90
rust,Qwen/Qwen2.5-3B-Instruct,16,256,512,19.06,14630.87,9767.07
rust,Qwen/Qwen2.5-3B-Instruct,16,256,1024,9.25,11835.21,9475.26
rust,Qwen/Qwen2.5-3B-Instruct,16,512,128,36.97,23685.88,4755.13
rust,Qwen/Qwen2.5-3B-Instruct,16,512,256,26.31,20224.62,6752.63
rust,Qwen/Qwen2.5-3B-Instruct,16,512,512,15.82,16214.22,8112.11
rust,Qwen/Qwen2.5-3B-Instruct,16,512,1024,8.19,12577.58,8386.78
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,128,25.38,29262.33,3273.91
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,256,21.31,27295.87,5476.20
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,512,14.05,21601.71,7209.93
rust,Qwen/Qwen2.5-3B-Instruct,16,1024,1024,7.53,15438.65,7723.09
rust,Qwen/Qwen2.5-3B-Instruct,32,32,128,102.54,16410.32,13128.98
rust,Qwen/Qwen2.5-3B-Instruct,32,32,256,52.83,15217.75,13527.09
rust,Qwen/Qwen2.5-3B-Instruct,32,32,512,25.12,13665.11,12861.33
rust,Qwen/Qwen2.5-3B-Instruct,32,32,1024,11.04,11655.22,11302.05
rust,Qwen/Qwen2.5-3B-Instruct,32,64,128,89.52,17193.71,11464.65
rust,Qwen/Qwen2.5-3B-Instruct,32,64,256,48.89,15648.41,12519.42
rust,Qwen/Qwen2.5-3B-Instruct,32,64,512,24.00,13828.16,12291.87
rust,Qwen/Qwen2.5-3B-Instruct,32,64,1024,10.69,11627.09,10943.18
rust,Qwen/Qwen2.5-3B-Instruct,32,128,128,72.81,18562.61,9331.22
rust,Qwen/Qwen2.5-3B-Instruct,32,128,256,42.70,16352.92,10938.80
rust,Qwen/Qwen2.5-3B-Instruct,32,128,512,22.14,14148.89,11341.36
rust,Qwen/Qwen2.5-3B-Instruct,32,128,1024,10.15,11682.76,10395.84
rust,Qwen/Qwen2.5-3B-Instruct,32,256,128,53.01,20325.98,6801.87
rust,Qwen/Qwen2.5-3B-Instruct,32,256,256,34.24,17509.87,8775.32
rust,Qwen/Qwen2.5-3B-Instruct,32,256,512,19.14,14691.56,9807.59
rust,Qwen/Qwen2.5-3B-Instruct,32,256,1024,9.25,11838.45,9477.85
rust,Qwen/Qwen2.5-3B-Instruct,32,512,128,36.79,23565.51,4730.97
rust,Qwen/Qwen2.5-3B-Instruct,32,512,256,26.48,20354.93,6796.13
rust,Qwen/Qwen2.5-3B-Instruct,32,512,512,15.87,16257.67,8133.85
rust,Qwen/Qwen2.5-3B-Instruct,32,512,1024,8.20,12603.21,8403.87
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,128,25.36,29242.47,3271.69
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,256,21.29,27269.74,5470.96
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,512,14.05,21589.70,7205.92
rust,Qwen/Qwen2.5-3B-Instruct,32,1024,1024,7.53,15429.29,7718.40
rust,Qwen/Qwen2.5-7B-Instruct,16,32,128,50.72,8117.77,6494.57
rust,Qwen/Qwen2.5-7B-Instruct,16,32,256,26.28,7570.90,6729.79
rust,Qwen/Qwen2.5-7B-Instruct,16,32,512,12.78,6953.43,6544.43
rust,Qwen/Qwen2.5-7B-Instruct,16,32,1024,5.73,6046.98,5863.75
rust,Qwen/Qwen2.5-7B-Instruct,16,64,128,43.87,8426.12,5618.48
rust,Qwen/Qwen2.5-7B-Instruct,16,64,256,24.35,7792.40,6234.27
rust,Qwen/Qwen2.5-7B-Instruct,16,64,512,12.17,7008.65,6230.00
rust,Qwen/Qwen2.5-7B-Instruct,16,64,1024,5.57,6058.88,5702.49
rust,Qwen/Qwen2.5-7B-Instruct,16,128,128,35.11,8950.39,4499.26
rust,Qwen/Qwen2.5-7B-Instruct,16,128,256,21.06,8063.64,5393.93
rust,Qwen/Qwen2.5-7B-Instruct,16,128,512,11.18,7143.00,5725.63
rust,Qwen/Qwen2.5-7B-Instruct,16,128,1024,5.28,6079.87,5410.14
rust,Qwen/Qwen2.5-7B-Instruct,16,256,128,26.23,10056.66,3365.35
rust,Qwen/Qwen2.5-7B-Instruct,16,256,256,17.05,8719.42,4369.86
rust,Qwen/Qwen2.5-7B-Instruct,16,256,512,9.78,7502.24,5008.24
rust,Qwen/Qwen2.5-7B-Instruct,16,256,1024,4.84,6197.69,4961.87
rust,Qwen/Qwen2.5-7B-Instruct,16,512,128,17.83,11419.33,2292.52
rust,Qwen/Qwen2.5-7B-Instruct,16,512,256,13.22,10164.07,3393.60
rust,Qwen/Qwen2.5-7B-Instruct,16,512,512,8.15,8346.50,4175.82
rust,Qwen/Qwen2.5-7B-Instruct,16,512,1024,4.31,6619.49,4413.90
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,128,12.10,13951.66,1560.93
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,256,10.40,13328.29,2673.97
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,512,7.15,10989.64,3667.98
rust,Qwen/Qwen2.5-7B-Instruct,16,1024,1024,3.89,7972.69,3988.29
rust,Qwen/Qwen2.5-7B-Instruct,32,32,128,50.41,8067.87,6454.65
rust,Qwen/Qwen2.5-7B-Instruct,32,32,256,26.31,7577.46,6735.62
rust,Qwen/Qwen2.5-7B-Instruct,32,32,512,12.78,6952.71,6543.75
rust,Qwen/Qwen2.5-7B-Instruct,32,32,1024,5.73,6053.93,5870.48
rust,Qwen/Qwen2.5-7B-Instruct,32,64,128,44.18,8486.06,5658.45
rust,Qwen/Qwen2.5-7B-Instruct,32,64,256,24.25,7760.52,6208.76
rust,Qwen/Qwen2.5-7B-Instruct,32,64,512,12.17,7011.39,6232.44
rust,Qwen/Qwen2.5-7B-Instruct,32,64,1024,5.57,6058.85,5702.46
rust,Qwen/Qwen2.5-7B-Instruct,32,128,128,35.53,9057.35,4553.03
rust,Qwen/Qwen2.5-7B-Instruct,32,128,256,21.07,8068.28,5397.04
