# GPU cost table — generated by gpu_cost_sweep
# Launch overhead: 2.91 us (subtracted from all timings)
# Timings are compute-only. To get wall-clock time for N separate
# kernel launches, add N * launch_overhead_us.
# To regenerate, see instructions in gpu_cost_sweep.rs
kernel,M,N,K,cost_us
launch_overhead,0,0,0,2.91
cublas,1,2048,2048,3.8
cutlass_32x64_s4,1,2048,2048,9.0
cutlass_32x64_s3,1,2048,2048,10.6
cutlass_32x128_s4,1,2048,2048,14.0
cutlass_32x128_s3,1,2048,2048,14.0
cutlass_32x256_s3,1,2048,2048,18.2
cutlass_64x64_s4,1,2048,2048,9.4
cutlass_64x64_s3,1,2048,2048,10.8
cutlass_64x128_s4,1,2048,2048,14.2
cutlass_64x128_s3,1,2048,2048,14.2
cutlass_128x64_s4,1,2048,2048,13.5
cutlass_128x64_s3,1,2048,2048,13.6
cutlass_128x128_s4,1,2048,2048,21.5
cutlass_128x128_s3,1,2048,2048,21.5
cutlass_128x256_s3,1,2048,2048,33.6
cutlass_256x64_s4,1,2048,2048,24.4
cutlass_256x64_s3,1,2048,2048,24.3
sm90_128x128_coop,1,2048,2048,11.5
sm90_128x256_coop,1,2048,2048,21.1
sm90_256x128_coop,1,2048,2048,21.2
sm90_64x128_ws,1,2048,2048,8.1
sm90_128x64_ws,1,2048,2048,9.6
sm90_64x64_ws,1,2048,2048,6.5
sm90_128x128_pp,1,2048,2048,12.0
sm90_64x128_pp,1,2048,2048,9.0
sm90_128x64_pp,1,2048,2048,10.5
sm90_128x128_c2x1,1,2048,2048,12.5
sm90_128x256_c2x1,1,2048,2048,21.5
cutlass_gemv,1,2048,2048,3.2
cublas,2,2048,2048,4.2
cutlass_32x64_s4,2,2048,2048,9.0
cutlass_32x64_s3,2,2048,2048,10.6
cutlass_32x128_s4,2,2048,2048,14.0
cutlass_32x128_s3,2,2048,2048,13.9
cutlass_32x256_s3,2,2048,2048,18.2
cutlass_64x64_s4,2,2048,2048,9.4
cutlass_64x64_s3,2,2048,2048,10.8
cutlass_64x128_s4,2,2048,2048,14.3
cutlass_64x128_s3,2,2048,2048,14.2
cutlass_128x64_s4,2,2048,2048,13.5
cutlass_128x64_s3,2,2048,2048,13.5
cutlass_128x128_s4,2,2048,2048,21.5
cutlass_128x128_s3,2,2048,2048,21.5
cutlass_128x256_s3,2,2048,2048,33.7
cutlass_256x64_s4,2,2048,2048,24.3
cutlass_256x64_s3,2,2048,2048,24.3
sm90_128x128_coop,2,2048,2048,11.5
sm90_128x256_coop,2,2048,2048,21.1
sm90_256x128_coop,2,2048,2048,21.2
sm90_64x128_ws,2,2048,2048,7.9
sm90_128x64_ws,2,2048,2048,8.9
sm90_64x64_ws,2,2048,2048,6.3
sm90_128x128_pp,2,2048,2048,12.0
sm90_64x128_pp,2,2048,2048,8.8
sm90_128x64_pp,2,2048,2048,9.7
sm90_128x128_c2x1,2,2048,2048,12.9
sm90_128x256_c2x1,2,2048,2048,21.3
cublas,4,2048,2048,3.6
cutlass_32x64_s4,4,2048,2048,8.8
cutlass_32x64_s3,4,2048,2048,10.6
cutlass_32x128_s4,4,2048,2048,13.8
cutlass_32x128_s3,4,2048,2048,13.8
cutlass_32x256_s3,4,2048,2048,18.0
cutlass_64x64_s4,4,2048,2048,9.3
cutlass_64x64_s3,4,2048,2048,10.8
cutlass_64x128_s4,4,2048,2048,14.1
cutlass_64x128_s3,4,2048,2048,14.0
cutlass_128x64_s4,4,2048,2048,13.4
cutlass_128x64_s3,4,2048,2048,13.4
cutlass_128x128_s4,4,2048,2048,21.3
cutlass_128x128_s3,4,2048,2048,21.2
cutlass_128x256_s3,4,2048,2048,33.3
cutlass_256x64_s4,4,2048,2048,24.0
cutlass_256x64_s3,4,2048,2048,24.1
sm90_128x128_coop,4,2048,2048,11.4
sm90_128x256_coop,4,2048,2048,20.8
sm90_256x128_coop,4,2048,2048,21.0
sm90_64x128_ws,4,2048,2048,7.9
sm90_128x64_ws,4,2048,2048,9.2
sm90_64x64_ws,4,2048,2048,6.3
sm90_128x128_pp,4,2048,2048,11.9
sm90_64x128_pp,4,2048,2048,8.8
sm90_128x64_pp,4,2048,2048,10.1
sm90_128x128_c2x1,4,2048,2048,11.6
sm90_128x256_c2x1,4,2048,2048,21.3
cublas,8,2048,2048,4.1
cutlass_32x64_s4,8,2048,2048,8.9
cutlass_32x64_s3,8,2048,2048,10.5
cutlass_32x128_s4,8,2048,2048,13.8
cutlass_32x128_s3,8,2048,2048,13.8
cutlass_32x256_s3,8,2048,2048,18.1
cutlass_64x64_s4,8,2048,2048,9.3
cutlass_64x64_s3,8,2048,2048,10.7
cutlass_64x128_s4,8,2048,2048,14.1
cutlass_64x128_s3,8,2048,2048,14.0
cutlass_128x64_s4,8,2048,2048,13.4
cutlass_128x64_s3,8,2048,2048,13.4
cutlass_128x128_s4,8,2048,2048,21.2
cutlass_128x128_s3,8,2048,2048,21.2
cutlass_128x256_s3,8,2048,2048,33.3
cutlass_256x64_s4,8,2048,2048,24.1
cutlass_256x64_s3,8,2048,2048,24.1
sm90_128x128_coop,8,2048,2048,11.3
sm90_128x256_coop,8,2048,2048,20.9
sm90_256x128_coop,8,2048,2048,21.0
sm90_64x128_ws,8,2048,2048,7.8
sm90_128x64_ws,8,2048,2048,9.0
sm90_64x64_ws,8,2048,2048,6.2
sm90_128x128_pp,8,2048,2048,11.9
sm90_64x128_pp,8,2048,2048,8.6
sm90_128x64_pp,8,2048,2048,9.9
sm90_128x128_c2x1,8,2048,2048,11.6
sm90_128x256_c2x1,8,2048,2048,21.3
cublas,16,2048,2048,3.5
cutlass_32x64_s4,16,2048,2048,9.0
cutlass_32x64_s3,16,2048,2048,10.7
cutlass_32x128_s4,16,2048,2048,13.9
cutlass_32x128_s3,16,2048,2048,13.8
cutlass_32x256_s3,16,2048,2048,18.2
cutlass_64x64_s4,16,2048,2048,9.5
cutlass_64x64_s3,16,2048,2048,10.9
cutlass_64x128_s4,16,2048,2048,14.3
cutlass_64x128_s3,16,2048,2048,14.1
cutlass_128x64_s4,16,2048,2048,13.5
cutlass_128x64_s3,16,2048,2048,13.5
cutlass_128x128_s4,16,2048,2048,21.3
cutlass_128x128_s3,16,2048,2048,21.3
