kernel,M,N,K,cost_us
launch_overhead,0,0,0,2.37
cublas,1,2048,2048,4.6
cutlass_32x64_s4,1,2048,2048,8.9
cutlass_32x64_s3,1,2048,2048,8.8
cutlass_32x128_s4,1,2048,2048,14.7
cutlass_32x128_s3,1,2048,2048,14.7
cutlass_32x256_s3,1,2048,2048,15.9
cutlass_64x64_s4,1,2048,2048,8.5
cutlass_64x64_s3,1,2048,2048,8.5
cutlass_64x128_s4,1,2048,2048,13.8
cutlass_64x128_s3,1,2048,2048,13.8
cutlass_128x64_s4,1,2048,2048,14.0
cutlass_128x64_s3,1,2048,2048,14.0
cutlass_128x128_s4,1,2048,2048,27.1
cutlass_128x128_s3,1,2048,2048,27.1
cutlass_128x256_s3,1,2048,2048,54.8
cutlass_256x64_s4,1,2048,2048,27.9
cutlass_256x64_s3,1,2048,2048,27.9
cutlass_64x64_s4_sk2,1,2048,2048,6.0
cutlass_64x64_s4_sk4,1,2048,2048,4.7
cutlass_64x64_s4_sk8,1,2048,2048,5.1
cutlass_128x128_s3_sk2,1,2048,2048,15.9
cutlass_128x128_s3_sk4,1,2048,2048,9.4
cutlass_128x128_s3_sk8,1,2048,2048,7.2
cutlass_64x128_s4_sk2,1,2048,2048,8.8
cutlass_64x128_s4_sk4,1,2048,2048,5.6
cutlass_64x128_s4_sk8,1,2048,2048,4.9
cutlass_32x64_s4_sk4,1,2048,2048,4.3
cutlass_32x64_s4_sk8,1,2048,2048,4.1
cutlass_32x64_s4_sk16,1,2048,2048,4.6
cutlass_128x128_s4_sk2,1,2048,2048,15.8
cutlass_128x128_s4_sk4,1,2048,2048,9.3
cutlass_128x128_s4_sk8,1,2048,2048,7.0
cutlass_128x64_s4_sk2,1,2048,2048,9.0
cutlass_128x64_s4_sk4,1,2048,2048,6.5
cutlass_128x64_s4_sk8,1,2048,2048,7.0
cutlass_256x64_s4_sk2,1,2048,2048,16.1
cutlass_256x64_s4_sk4,1,2048,2048,10.1
cutlass_64x64_s4_sk16,1,2048,2048,6.6
cutlass_64x128_s4_sk16,1,2048,2048,5.8
cutlass_64x64_k64_s4,1,2048,2048,7.1
cutlass_64x64_k64_s3,1,2048,2048,6.9
cutlass_64x128_k64_s4,1,2048,2048,14.0
cutlass_64x128_k64_s3,1,2048,2048,13.9
cutlass_128x64_k64_s4,1,2048,2048,14.1
cutlass_128x64_k64_s3,1,2048,2048,14.1
cutlass_128x128_k64_s4,1,2048,2048,0.0
cutlass_128x128_k64_s3,1,2048,2048,28.0
cutlass_256x64_k64_s4,1,2048,2048,0.0
cutlass_256x64_k64_s3,1,2048,2048,0.0
cutlass_128x256_k64_s3,1,2048,2048,0.0
cutlass_32x64_k64_s4,1,2048,2048,8.1
cutlass_32x128_k64_s4,1,2048,2048,13.8
cutlass_64x64_k64_s4_sk2,1,2048,2048,6.1
cutlass_64x64_k64_s4_sk4,1,2048,2048,4.5
cutlass_64x64_k64_s4_sk8,1,2048,2048,5.7
cutlass_128x128_k64_s3_sk2,1,2048,2048,16.3
cutlass_128x128_k64_s3_sk4,1,2048,2048,9.7
cutlass_128x128_k64_s2,1,2048,2048,28.9
cutlass_64x64_k64_s2,1,2048,2048,11.3
cutlass_64x128_k64_s2,1,2048,2048,17.6
cutlass_128x64_k64_s2,1,2048,2048,18.0
cutlass_256x64_k64_s2,1,2048,2048,31.5
cutlass_256x128_s2,1,2048,2048,0.0
cutlass_64x64_s2,1,2048,2048,16.9
cutlass_64x128_s2,1,2048,2048,21.9
cutlass_128x64_s2,1,2048,2048,20.9
cutlass_128x128_s2,1,2048,2048,33.8
cutlass_128x256_s2,1,2048,2048,55.1
cutlass_256x64_s2,1,2048,2048,34.4
cutlass_gemv,1,2048,2048,3.1
cublas,2,2048,2048,7.5
cutlass_32x64_s4,2,2048,2048,8.9
cutlass_32x64_s3,2,2048,2048,8.8
cutlass_32x128_s4,2,2048,2048,14.7
cutlass_32x128_s3,2,2048,2048,14.7
cutlass_32x256_s3,2,2048,2048,15.9
cutlass_64x64_s4,2,2048,2048,8.5
cutlass_64x64_s3,2,2048,2048,8.5
cutlass_64x128_s4,2,2048,2048,13.8
cutlass_64x128_s3,2,2048,2048,13.9
cutlass_128x64_s4,2,2048,2048,14.0
cutlass_128x64_s3,2,2048,2048,14.0
cutlass_128x128_s4,2,2048,2048,27.1
cutlass_128x128_s3,2,2048,2048,27.1
cutlass_128x256_s3,2,2048,2048,54.8
cutlass_256x64_s4,2,2048,2048,27.9
cutlass_256x64_s3,2,2048,2048,27.8
cutlass_64x64_s4_sk2,2,2048,2048,6.0
cutlass_64x64_s4_sk4,2,2048,2048,4.8
cutlass_64x64_s4_sk8,2,2048,2048,5.2
cutlass_128x128_s3_sk2,2,2048,2048,15.8
cutlass_128x128_s3_sk4,2,2048,2048,9.3
cutlass_128x128_s3_sk8,2,2048,2048,7.4
cutlass_64x128_s4_sk2,2,2048,2048,8.8
cutlass_64x128_s4_sk4,2,2048,2048,5.6
cutlass_64x128_s4_sk8,2,2048,2048,4.9
cutlass_32x64_s4_sk4,2,2048,2048,4.2
cutlass_32x64_s4_sk8,2,2048,2048,4.1
cutlass_32x64_s4_sk16,2,2048,2048,4.9
cutlass_128x128_s4_sk2,2,2048,2048,15.7
cutlass_128x128_s4_sk4,2,2048,2048,9.3
cutlass_128x128_s4_sk8,2,2048,2048,7.2
cutlass_128x64_s4_sk2,2,2048,2048,9.0
cutlass_128x64_s4_sk4,2,2048,2048,6.6
cutlass_128x64_s4_sk8,2,2048,2048,7.0
cutlass_256x64_s4_sk2,2,2048,2048,16.0
cutlass_256x64_s4_sk4,2,2048,2048,10.1
cutlass_64x64_s4_sk16,2,2048,2048,6.6
cutlass_64x128_s4_sk16,2,2048,2048,6.0
cutlass_64x64_k64_s4,2,2048,2048,7.1
cutlass_64x64_k64_s3,2,2048,2048,6.9
cutlass_64x128_k64_s4,2,2048,2048,13.9
cutlass_64x128_k64_s3,2,2048,2048,13.9
cutlass_128x64_k64_s4,2,2048,2048,14.1
cutlass_128x64_k64_s3,2,2048,2048,14.1
cutlass_128x128_k64_s4,2,2048,2048,0.0
cutlass_128x128_k64_s3,2,2048,2048,28.0
cutlass_256x64_k64_s4,2,2048,2048,0.0
cutlass_256x64_k64_s3,2,2048,2048,0.0
cutlass_128x256_k64_s3,2,2048,2048,0.0
cutlass_32x64_k64_s4,2,2048,2048,8.1
cutlass_32x128_k64_s4,2,2048,2048,13.8
cutlass_64x64_k64_s4_sk2,2,2048,2048,6.2
cutlass_64x64_k64_s4_sk4,2,2048,2048,4.6
cutlass_64x64_k64_s4_sk8,2,2048,2048,5.9
cutlass_128x128_k64_s3_sk2,2,2048,2048,16.3
cutlass_128x128_k64_s3_sk4,2,2048,2048,9.7
cutlass_128x128_k64_s2,2,2048,2048,28.9
cutlass_64x64_k64_s2,2,2048,2048,11.3
cutlass_64x128_k64_s2,2,2048,2048,17.6
cutlass_128x64_k64_s2,2,2048,2048,18.0
cutlass_256x64_k64_s2,2,2048,2048,31.4
cutlass_256x128_s2,2,2048,2048,0.0
cutlass_64x64_s2,2,2048,2048,16.9
cutlass_64x128_s2,2,2048,2048,21.9
cutlass_128x64_s2,2,2048,2048,20.8
cutlass_128x128_s2,2,2048,2048,33.8
cutlass_128x256_s2,2,2048,2048,55.1
cutlass_256x64_s2,2,2048,2048,34.4
cublas,4,2048,2048,7.5
cutlass_32x64_s4,4,2048,2048,8.9
cutlass_32x64_s3,4,2048,2048,8.8
cutlass_32x128_s4,4,2048,2048,14.7
cutlass_32x128_s3,4,2048,2048,14.7
cutlass_32x256_s3,4,2048,2048,15.9
cutlass_64x64_s4,4,2048,2048,8.5
cutlass_64x64_s3,4,2048,2048,8.7
cutlass_64x128_s4,4,2048,2048,13.8
cutlass_64x128_s3,4,2048,2048,13.8
cutlass_128x64_s4,4,2048,2048,14.0
cutlass_128x64_s3,4,2048,2048,14.0
cutlass_128x128_s4,4,2048,2048,27.1
cutlass_128x128_s3,4,2048,2048,27.1
cutlass_128x256_s3,4,2048,2048,54.8
cutlass_256x64_s4,4,2048,2048,27.8
cutlass_256x64_s3,4,2048,2048,27.8
cutlass_64x64_s4_sk2,4,2048,2048,6.0
cutlass_64x64_s4_sk4,4,2048,2048,4.9
cutlass_64x64_s4_sk8,4,2048,2048,5.4
cutlass_128x128_s3_sk2,4,2048,2048,15.9
cutlass_128x128_s3_sk4,4,2048,2048,9.5
cutlass_128x128_s3_sk8,4,2048,2048,7.5
cutlass_64x128_s4_sk2,4,2048,2048,8.8
cutlass_64x128_s4_sk4,4,2048,2048,5.7
cutlass_64x128_s4_sk8,4,2048,2048,5.1
cutlass_32x64_s4_sk4,4,2048,2048,4.3
cutlass_32x64_s4_sk8,4,2048,2048,4.3
cutlass_32x64_s4_sk16,4,2048,2048,5.2
cutlass_128x128_s4_sk2,4,2048,2048,15.7
cutlass_128x128_s4_sk4,4,2048,2048,9.4
cutlass_128x128_s4_sk8,4,2048,2048,7.4
cutlass_128x64_s4_sk2,4,2048,2048,9.0
cutlass_128x64_s4_sk4,4,2048,2048,6.7
cutlass_128x64_s4_sk8,4,2048,2048,7.3
cutlass_256x64_s4_sk2,4,2048,2048,16.1
cutlass_256x64_s4_sk4,4,2048,2048,10.3
cutlass_64x64_s4_sk16,4,2048,2048,6.9
cutlass_64x128_s4_sk16,4,2048,2048,6.3
cutlass_64x64_k64_s4,4,2048,2048,7.1
cutlass_64x64_k64_s3,4,2048,2048,6.9
cutlass_64x128_k64_s4,4,2048,2048,13.9
cutlass_64x128_k64_s3,4,2048,2048,13.9
cutlass_128x64_k64_s4,4,2048,2048,14.1
cutlass_128x64_k64_s3,4,2048,2048,14.1
cutlass_128x128_k64_s4,4,2048,2048,0.0
cutlass_128x128_k64_s3,4,2048,2048,28.0
cutlass_256x64_k64_s4,4,2048,2048,0.0
cutlass_256x64_k64_s3,4,2048,2048,0.0
cutlass_128x256_k64_s3,4,2048,2048,0.0
cutlass_32x64_k64_s4,4,2048,2048,8.1
cutlass_32x128_k64_s4,4,2048,2048,13.8
cutlass_64x64_k64_s4_sk2,4,2048,2048,6.2
cutlass_64x64_k64_s4_sk4,4,2048,2048,4.8
cutlass_64x64_k64_s4_sk8,4,2048,2048,6.1
cutlass_128x128_k64_s3_sk2,4,2048,2048,16.3
cutlass_128x128_k64_s3_sk4,4,2048,2048,9.9
cutlass_128x128_k64_s2,4,2048,2048,29.0
cutlass_64x64_k64_s2,4,2048,2048,11.3
cutlass_64x128_k64_s2,4,2048,2048,17.7
cutlass_128x64_k64_s2,4,2048,2048,18.0
cutlass_256x64_k64_s2,4,2048,2048,31.4
cutlass_256x128_s2,4,2048,2048,0.0
cutlass_64x64_s2,4,2048,2048,16.9
cutlass_64x128_s2,4,2048,2048,22.0
cutlass_128x64_s2,4,2048,2048,20.9
cutlass_128x128_s2,4,2048,2048,33.8
cutlass_128x256_s2,4,2048,2048,55.1
cutlass_256x64_s2,4,2048,2048,34.4
cublas,8,2048,2048,7.7
cutlass_32x64_s4,8,2048,2048,8.9
cutlass_32x64_s3,8,2048,2048,8.8
cutlass_32x128_s4,8,2048,2048,14.7
cutlass_32x128_s3,8,2048,2048,14.7
cutlass_32x256_s3,8,2048,2048,15.9
cutlass_64x64_s4,8,2048,2048,8.5
cutlass_64x64_s3,8,2048,2048,8.5
cutlass_64x128_s4,8,2048,2048,13.8
cutlass_64x128_s3,8,2048,2048,13.8
cutlass_128x64_s4,8,2048,2048,14.0
cutlass_128x64_s3,8,2048,2048,14.0
cutlass_128x128_s4,8,2048,2048,27.1
cutlass_128x128_s3,8,2048,2048,27.1
cutlass_128x256_s3,8,2048,2048,54.8
cutlass_256x64_s4,8,2048,2048,27.8
cutlass_256x64_s3,8,2048,2048,27.8
cutlass_64x64_s4_sk2,8,2048,2048,6.0
cutlass_64x64_s4_sk4,8,2048,2048,4.9
cutlass_64x64_s4_sk8,8,2048,2048,5.7
cutlass_128x128_s3_sk2,8,2048,2048,15.9
cutlass_128x128_s3_sk4,8,2048,2048,9.5
cutlass_128x128_s3_sk8,8,2048,2048,7.7
cutlass_64x128_s4_sk2,8,2048,2048,8.8
cutlass_64x128_s4_sk4,8,2048,2048,5.7
cutlass_64x128_s4_sk8,8,2048,2048,5.4
cutlass_32x64_s4_sk4,8,2048,2048,4.4
cutlass_32x64_s4_sk8,8,2048,2048,4.5
cutlass_32x64_s4_sk16,8,2048,2048,5.4
cutlass_128x128_s4_sk2,8,2048,2048,15.8
cutlass_128x128_s4_sk4,8,2048,2048,9.5
cutlass_128x128_s4_sk8,8,2048,2048,7.6
cutlass_128x64_s4_sk2,8,2048,2048,9.0
cutlass_128x64_s4_sk4,8,2048,2048,6.7
cutlass_128x64_s4_sk8,8,2048,2048,7.4
cutlass_256x64_s4_sk2,8,2048,2048,16.1
cutlass_256x64_s4_sk4,8,2048,2048,10.3
cutlass_64x64_s4_sk16,8,2048,2048,7.1
cutlass_64x128_s4_sk16,8,2048,2048,6.4
cutlass_64x64_k64_s4,8,2048,2048,7.2
cutlass_64x64_k64_s3,8,2048,2048,6.9
cutlass_64x128_k64_s4,8,2048,2048,14.0
cutlass_64x128_k64_s3,8,2048,2048,13.9
cutlass_128x64_k64_s4,8,2048,2048,14.1
cutlass_128x64_k64_s3,8,2048,2048,14.1
cutlass_128x128_k64_s4,8,2048,2048,0.0
cutlass_128x128_k64_s3,8,2048,2048,28.0
cutlass_256x64_k64_s4,8,2048,2048,0.0
cutlass_256x64_k64_s3,8,2048,2048,0.0
cutlass_128x256_k64_s3,8,2048,2048,0.0
cutlass_32x64_k64_s4,8,2048,2048,8.1
cutlass_32x128_k64_s4,8,2048,2048,13.8
cutlass_64x64_k64_s4_sk2,8,2048,2048,6.2
cutlass_64x64_k64_s4_sk4,8,2048,2048,4.8
cutlass_64x64_k64_s4_sk8,8,2048,2048,6.2
cutlass_128x128_k64_s3_sk2,8,2048,2048,16.3
cutlass_128x128_k64_s3_sk4,8,2048,2048,10.0
cutlass_128x128_k64_s2,8,2048,2048,29.2
cutlass_64x64_k64_s2,8,2048,2048,11.3
cutlass_64x128_k64_s2,8,2048,2048,17.7
cutlass_128x64_k64_s2,8,2048,2048,18.0
cutlass_256x64_k64_s2,8,2048,2048,31.4
cutlass_256x128_s2,8,2048,2048,0.0
cutlass_64x64_s2,8,2048,2048,16.9
cutlass_64x128_s2,8,2048,2048,22.2
cutlass_128x64_s2,8,2048,2048,20.8
cutlass_128x128_s2,8,2048,2048,33.8
cutlass_128x256_s2,8,2048,2048,55.1
cutlass_256x64_s2,8,2048,2048,34.4
cublas,16,2048,2048,7.9
cutlass_32x64_s4,16,2048,2048,8.9
cutlass_32x64_s3,16,2048,2048,8.8
cutlass_32x128_s4,16,2048,2048,14.7
cutlass_32x128_s3,16,2048,2048,14.7
cutlass_32x256_s3,16,2048,2048,16.0
cutlass_64x64_s4,16,2048,2048,8.4
cutlass_64x64_s3,16,2048,2048,8.5
cutlass_64x128_s4,16,2048,2048,13.8
cutlass_64x128_s3,16,2048,2048,13.8
cutlass_128x64_s4,16,2048,2048,14.0
cutlass_128x64_s3,16,2048,2048,14.0
cutlass_128x128_s4,16,2048,2048,27.1
cutlass_128x128_s3,16,2048,2048,27.1
cutlass_128x256_s3,16,2048,2048,54.8
cutlass_256x64_s4,16,2048,2048,27.8
cutlass_256x64_s3,16,2048,2048,27.8
cutlass_64x64_s4_sk2,16,2048,2048,6.1
cutlass_64x64_s4_sk4,16,2048,2048,5.0
cutlass_64x64_s4_sk8,16,2048,2048,5.7
cutlass_128x128_s3_sk2,16,2048,2048,15.9
cutlass_128x128_s3_sk4,16,2048,2048,9.5
cutlass_128x128_s3_sk8,16,2048,2048,7.9
cutlass_64x128_s4_sk2,16,2048,2048,8.9
cutlass_64x128_s4_sk4,16,2048,2048,5.8
cutlass_64x128_s4_sk8,16,2048,2048,5.5
cutlass_32x64_s4_sk4,16,2048,2048,4.4
cutlass_32x64_s4_sk8,16,2048,2048,4.6
cutlass_32x64_s4_sk16,16,2048,2048,5.6
cutlass_128x128_s4_sk2,16,2048,2048,15.8
cutlass_128x128_s4_sk4,16,2048,2048,9.5
cutlass_128x128_s4_sk8,16,2048,2048,7.8
cutlass_128x64_s4_sk2,16,2048,2048,9.0
cutlass_128x64_s4_sk4,16,2048,2048,6.8
cutlass_128x64_s4_sk8,16,2048,2048,7.5
cutlass_256x64_s4_sk2,16,2048,2048,16.1
cutlass_256x64_s4_sk4,16,2048,2048,10.3
cutlass_64x64_s4_sk16,16,2048,2048,7.4
cutlass_64x128_s4_sk16,16,2048,2048,6.6
cutlass_64x64_k64_s4,16,2048,2048,7.1
cutlass_64x64_k64_s3,16,2048,2048,6.9
cutlass_64x128_k64_s4,16,2048,2048,14.1
cutlass_64x128_k64_s3,16,2048,2048,14.0
cutlass_128x64_k64_s4,16,2048,2048,14.1
cutlass_128x64_k64_s3,16,2048,2048,14.1
cutlass_128x128_k64_s4,16,2048,2048,0.0
cutlass_128x128_k64_s3,16,2048,2048,28.0
cutlass_256x64_k64_s4,16,2048,2048,0.0
cutlass_256x64_k64_s3,16,2048,2048,0.0
cutlass_128x256_k64_s3,16,2048,2048,0.0
cutlass_32x64_k64_s4,16,2048,2048,8.1
cutlass_32x128_k64_s4,16,2048,2048,13.8
cutlass_64x64_k64_s4_sk2,16,2048,2048,6.2
cutlass_64x64_k64_s4_sk4,16,2048,2048,4.9
cutlass_64x64_k64_s4_sk8,16,2048,2048,6.4
cutlass_128x128_k64_s3_sk2,16,2048,2048,16.4
cutlass_128x128_k64_s3_sk4,16,2048,2048,9.9
cutlass_128x128_k64_s2,16,2048,2048,29.3
cutlass_64x64_k64_s2,16,2048,2048,11.7
cutlass_64x128_k64_s2,16,2048,2048,17.7
cutlass_128x64_k64_s2,16,2048,2048,18.0
cutlass_256x64_k64_s2,16,2048,2048,31.5
cutlass_256x128_s2,16,2048,2048,0.0
cutlass_64x64_s2,16,2048,2048,17.3
cutlass_64x128_s2,16,2048,2048,22.5
cutlass_128x64_s2,16,2048,2048,20.9
