# GPU cost table — generated by gpu_cost_sweep
# To regenerate, see instructions in scheduled_megakernel_test.rs
kernel,M,N,K,cost_us
cublas,1,2048,2048,9.7
cutlass_32x64_s4,1,2048,2048,13.6
cutlass_32x64_s3,1,2048,2048,13.5
cutlass_32x128_s4,1,2048,2048,20.7
cutlass_32x128_s3,1,2048,2048,20.7
cutlass_32x256_s3,1,2048,2048,22.2
cutlass_64x64_s4,1,2048,2048,13.0
cutlass_64x64_s3,1,2048,2048,13.0
cutlass_64x128_s4,1,2048,2048,19.6
cutlass_64x128_s3,1,2048,2048,19.6
cutlass_128x64_s4,1,2048,2048,19.9
cutlass_128x64_s3,1,2048,2048,19.9
cutlass_128x128_s4,1,2048,2048,36.0
cutlass_128x128_s3,1,2048,2048,36.1
cutlass_128x256_s3,1,2048,2048,70.2
cutlass_256x64_s4,1,2048,2048,36.9
cutlass_256x64_s3,1,2048,2048,36.9
cutlass_gemv,1,2048,2048,7.0
cublas,2,2048,2048,13.9
cutlass_32x64_s4,2,2048,2048,13.6
cutlass_32x64_s3,2,2048,2048,13.5
cutlass_32x128_s4,2,2048,2048,20.7
cutlass_32x128_s3,2,2048,2048,20.7
cutlass_32x256_s3,2,2048,2048,22.2
cutlass_64x64_s4,2,2048,2048,13.0
cutlass_64x64_s3,2,2048,2048,13.0
cutlass_64x128_s4,2,2048,2048,19.6
cutlass_64x128_s3,2,2048,2048,19.6
cutlass_128x64_s4,2,2048,2048,19.9
cutlass_128x64_s3,2,2048,2048,19.9
cutlass_128x128_s4,2,2048,2048,36.0
cutlass_128x128_s3,2,2048,2048,36.0
cutlass_128x256_s3,2,2048,2048,70.2
cutlass_256x64_s4,2,2048,2048,36.9
cutlass_256x64_s3,2,2048,2048,37.1
cublas,4,2048,2048,14.1
cutlass_32x64_s4,4,2048,2048,13.8
cutlass_32x64_s3,4,2048,2048,13.5
cutlass_32x128_s4,4,2048,2048,20.7
cutlass_32x128_s3,4,2048,2048,20.7
cutlass_32x256_s3,4,2048,2048,22.2
cutlass_64x64_s4,4,2048,2048,13.0
cutlass_64x64_s3,4,2048,2048,13.0
